LONGITUDE	LATITUDE	LABEL	ELEVATION	KML_FOLDER	open
"64ø 12' 24.0588"" W"	"31ø 26' 29.7796"" S"	Pedro de Mendoza al 2600		L32 ida	1
"64ø 12' 10.9869"" W"	"31ø 26' 30.6878"" S"	Av Naciones Unidas al 500		L32 ida	1
"64ø 11' 58.2552"" W"	"31ø 26' 32.9812"" S"	Av Naciones Unidas al 200		L32 ida	1
"64ø 11' 37.7857"" W"	"31ø 26' 31.4712"" S"	Maestro Lopez (frente a UTN)		L32 ida	1
"64ø 11' 32.0402"" W"	"31ø 26' 16.0073"" S"	Haya de La Torre y Medina Allende		L32 ida	1
"64ø 11' 29.6173"" W"	"31ø 26' 4.1551"" S"	Medina Allende		L32 ida	1
"64ø 11' 28.3663"" W"	"31ø 25' 57.5477"" S"	Venezuela e Independencia		L32 ida	1
"64ø 11' 27.6406"" W"	"31ø 25' 53.6244"" S"	Av Ambrosio Olmos al 800		L32 ida	1
"64ø 11' 13.0246"" W"	"31ø 25' 46.8935"" S"	Av Ambrosio Olmos al 600		L32 ida	1
"64ø 11' 8.2285"" W"	"31ø 25' 44.6804"" S"	Av Ambrosio Olmos al 500		L32 ida	1
"64ø 11' 1.3585"" W"	"31ø 25' 32.9991"" S"	Bv. Chacabuco al 700		L32 ida	1
"64ø 10' 58.0336"" W"	"31ø 25' 26.0992"" S"	Bv. Chacabuco al 600		L32 ida	1
"64ø 10' 55.4345"" W"	"31ø 25' 20.5885"" S"	Bv. Chacabuco al 400		L32 ida	1
"64ø 11' 10.8615"" W"	"31ø 24' 59.2473"" S"	27 de Abril al 100		L32 ida	1
"64ø 11' 14.1492"" W"	"31ø 24' 46.6590"" S"	Tucum n al 100		L32 ida	1
"64ø 11' 10.3098"" W"	"31ø 24' 37.5296"" S"	Tucum n al 300		L32 ida	1
"64ø 11' 15.6640"" W"	"31ø 24' 21.2109"" S"	Parque Las Heras		L32 ida	1
"64ø 11' 12.3927"" W"	"31ø 24' 5.8600"" S"	Gral Bustos al 600		L32 ida	1
"64ø 11' 29.4276"" W"	"31ø 24' 0.2778"" S"	Gral. Bustos y Rodriguez Pe¤a		L32 ida	1
"64ø 11' 24.3116"" W"	"31ø 23' 44.1892"" S"	Rodriguez Pe¤ay Jer¢nimo Luis de Cabrera		L32 ida	1
"64ø 11' 18.8117"" W"	"31ø 23' 31.7304"" S"	Rodrigu‚z Pe¤a y Antonio del Viso		L32 ida	1
"64ø 11' 2.0442"" W"	"31ø 23' 33.3964"" S"	Jos‚ Baigorri al 600		L32 ida	1
"64ø 10' 57.4560"" W"	"31ø 23' 30.2743"" S"	Gral. Lavalleja al 2100		L32 ida	1
"64ø 10' 56.9178"" W"	"31ø 23' 20.7123"" S"	Gral. Lavalleja al 2200		L32 ida	1
"64ø 10' 56.5887"" W"	"31ø 23' 15.8185"" S"	Gral. Lavalleja al 2300		L32 ida	1
"64ø 10' 56.7353"" W"	"31ø 23' 7.2184"" S"	Gral. Lavalleja al 2600		L32 ida	1
"64ø 10' 56.7016"" W"	"31ø 22' 58.6702"" S"	Gral. Lavalleja al 2700		L32 ida	1
"64ø 10' 56.7878"" W"	"31ø 22' 47.6680"" S"	Gral. Lavalleja al 3000		L32 ida	1
"64ø 11' 0.8404"" W"	"31ø 22' 41.1754"" S"	Vicente Espinel al 600		L32 ida	1
"64ø 11' 1.7393"" W"	"31ø 22' 33.6294"" S"	Mariano Fragueiro 3300		L32 ida	1
"64ø 11' 1.5203"" W"	"31ø 22' 13.1043"" S"	Mariano Fragueiro 3500		L32 ida	1
"64ø 11' 1.7575"" W"	"31ø 22' 1.7853"" S"	Mariano Fragueiro al 4000		L32 ida	1
"64ø 11' 1.7610"" W"	"31ø 21' 55.7378"" S"	Mariano Fragueiro al 4200		L32 ida	1
"64ø 11' 1.7646"" W"	"31ø 21' 49.6312"" S"	Mariano Fragueiro al 4400		L32 ida	1
"64ø 11' 1.7868"" W"	"31ø 21' 42.0784"" S"	Mariano Fragueiro al 4600		L32 ida	1
"64ø 11' 1.9188"" W"	"31ø 21' 31.4264"" S"	Mariano Fragueiro al 4800		L32 ida	1
"64ø 11' 1.9749"" W"	"31ø 21' 26.9068"" S"	Mariano Fragueiro al 5000		L32 ida	1
"64ø 11' 7.3534"" W"	"31ø 21' 17.4903"" S"	Mackay Gordon y Colectora		L32 ida	1
"64ø 11' 4.3371"" W"	"31ø 21' 8.8026"" S"	Luisoni y Newbery		L32 ida	
"64ø 10' 58.7459"" W"	"31ø 21' 8.0521"" S"	Newbery y Escola		L32 ida	
"64ø 10' 51.1004"" W"	"31ø 21' 9.0278"" S"	Jorge Eduardo Newbery al 300		L32 ida	1
"64ø 10' 41.4972"" W"	"31ø 21' 10.1156"" S"	Newbery al 100		L32 ida	
"64ø 10' 32.8378"" W"	"31ø 21' 13.8003"" S"	Av Juan B. Justo al 5000		L32 ida	1
"64ø 10' 34.0059"" W"	"31ø 20' 52.4138"" S"	Av Juan B. Justo al 5700		L32 ida	1
"64ø 10' 34.0042"" W"	"31ø 20' 42.7792"" S"	Av Juan B. Justo al 6000		L32 ida	1
"64ø 10' 42.8347"" W"	"31ø 20' 24.4775"" S"	Calle 3 Calle 14		L32 ida	1
"64ø 10' 48.1866"" W"	"31ø 20' 21.5353"" S"	Calle 15 y Calle 5		L32 ida	1
"64ø 10' 47.1567"" W"	"31ø 20' 13.1914"" S"	Calle 15 y Calle 10		L32 ida	1
"64ø 10' 47.0901"" W"	"31ø 20' 10.3460"" S"	Calle 15 y Av Jap¢n		L32 ida	1
"64ø 10' 32.4844"" W"	"31ø 20' 7.3191"" S"	Av Juan B. Justo al 7100		L32 ida	1
"64ø 10' 32.5900"" W"	"31ø 19' 56.6691"" S"	Av Juan B. Justo al 7600		L32 ida	1
"64ø 10' 32.7253"" W"	"31ø 19' 46.7570"" S"	Av Juan B. Justo al 8000		L32 ida	1
"64ø 10' 32.9246"" W"	"31ø 19' 25.1106"" S"	Av Juan B. Justo al 8500		L32 ida	1
"64ø 10' 32.3147"" W"	"31ø 19' 2.8318"" S"	Av Juan B. Justo al 8900		L32 ida	1
"64ø 10' 32.6794"" W"	"31ø 18' 47.2647"" S"	Av Juan B. Justo al 9500		L32 ida	1
"64ø 10' 31.7694"" W"	"31ø 18' 31.9642"" S"	Av Juan B. Justo al 9700		L32 ida	1
"64ø 10' 40.2552"" W"	"31ø 18' 36.1467"" S"	Del Chamame y Del Cielito		L32 ida	1
"64ø 10' 47.0184"" W"	"31ø 18' 39.2704"" S"	Del Valsecito y Del Cielito		L32 ida	1
"64ø 10' 55.9552"" W"	"31ø 18' 33.8001"" S"	Del Valsecito y De los Tristes		L32 ida	1
"64ø 11' 2.0057"" W"	"31ø 18' 30.9382"" S"	L32 Villa Risler		L32 Regreso	1
"64ø 10' 56.4415"" W"	"31ø 18' 34.2659"" S"	Del Valsecito y De los Tristes		L32 Regreso	1
"64ø 10' 47.4314"" W"	"31ø 18' 39.9365"" S"	Del Valsecito y Del Cielito		L32 Regreso	1
"64ø 10' 39.5914"" W"	"31ø 18' 36.3690"" S"	Del Chamame y Del Cielito		L32 Regreso	1
"64ø 10' 32.8446"" W"	"31ø 18' 31.8804"" S"	Av Juan B. Justo al 9700		L32 Regreso	1
"64ø 10' 34.5623"" W"	"31ø 18' 39.9047"" S"	Av Juan B. Justo al 9600		L32 Regreso	1
"64ø 10' 33.9898"" W"	"31ø 18' 47.1246"" S"	Av Juan B. Justo al 9500		L32 Regreso	1
"64ø 10' 33.6357"" W"	"31ø 19' 4.1293"" S"	Av Juan B. Justo al 8900		L32 Regreso	1
"64ø 10' 33.4709"" W"	"31ø 19' 21.9065"" S"	Av Juan B. Justo al 8600		L32 Regreso	1
"64ø 10' 33.3918"" W"	"31ø 19' 30.6262"" S"	Av Juan B. Justo al 8400		L32 Regreso	1
"64ø 10' 33.2159"" W"	"31ø 19' 48.7681"" S"	Av Juan B. Justo al 7900		L32 Regreso	1
"64ø 10' 33.3376"" W"	"31ø 20' 8.3792"" S"	Av Juan B. Justo al 7100		L32 Regreso	1
"64ø 10' 42.4171"" W"	"31ø 20' 9.8124"" S"	Av Jap¢n 120		L32 Regreso	1
"64ø 10' 48.6893"" W"	"31ø 20' 11.4737"" S"	Calle 15 y Calle 11		L32 Regreso	1
"64ø 10' 48.6948"" W"	"31ø 20' 15.0365"" S"	Calle 15 y Calle 9		L32 Regreso	1
"64ø 10' 48.7011"" W"	"31ø 20' 19.1931"" S"	Calle 15 Calle 7		L32 Regreso	1
"64ø 10' 48.7068"" W"	"31ø 20' 22.9869"" S"	Calle 15 y Calle 4		L32 Regreso	1
"64ø 10' 41.7152"" W"	"31ø 20' 24.9866"" S"	Calle 3 y Calle 14		L32 Regreso	1
"64ø 10' 34.5440"" W"	"31ø 20' 25.3287"" S"	Av Juan B. Justo al 6700		L32 Regreso	1
"64ø 10' 34.5343"" W"	"31ø 20' 33.0482"" S"	Av Juan B. Justo al 6400		L32 Regreso	1
"64ø 10' 34.5231"" W"	"31ø 20' 42.0535"" S"	Av Juan B. Justo al 6000		L32 Regreso	1
"64ø 10' 34.5503"" W"	"31ø 20' 57.3947"" S"	Av Juan B. Justo al 5600		L32 Regreso	1
"64ø 10' 38.2861"" W"	"31ø 21' 9.8375"" S"	Jorge Eduardo Newbery al 100		L32 Regreso	1
"64ø 10' 43.0440"" W"	"31ø 21' 9.5255"" S"	Jorge Eduardo Newbery Arzeno		L32 Regreso	
"64ø 10' 51.5845"" W"	"31ø 21' 8.3028"" S"	Jorge Eduardo Newbery y Teodoro Felds		L32 Regreso	
"64ø 11' 0.3879"" W"	"31ø 21' 7.2361"" S"	Newbery y Felipe Beltrame		L32 Regreso	1
"64ø 11' 2.8692"" W"	"31ø 21' 16.7920"" S"	Carola Lorenzini al 800		L32 Regreso	1
"64ø 11' 8.4563"" W"	"31ø 21' 22.0914"" S"	Mackay Gordon al 800		L32 Regreso	1
"64ø 11' 6.3369"" W"	"31ø 21' 26.1425"" S"	Mojica y Gral. Jos‚ de Urquiza		L32 Regreso	
"64ø 11' 2.2963"" W"	"31ø 21' 33.5281"" S"	Mariano Fragueiro al 4900		L32 Regreso	1
"64ø 11' 2.2829"" W"	"31ø 21' 49.1204"" S"	Mariano Fragueiro al 4600		L32 Regreso	1
"64ø 11' 2.2757"" W"	"31ø 22' 1.4227"" S"	Mariano Fragueiro al 4400		L32 Regreso	1
"64ø 11' 2.2717"" W"	"31ø 22' 17.7477"" S"	Mariano Fragueiro al 3600		L32 Regreso	1
"64ø 11' 2.2606"" W"	"31ø 22' 27.3557"" S"	Mariano Fragueiro al 3400		L32 Regreso	1
"64ø 11' 2.2112"" W"	"31ø 22' 39.2120"" S"	Mariano Fragueiro al 3200		L32 Regreso	1
"64ø 11' 1.7053"" W"	"31ø 22' 53.5295"" S"	Mariano Fragueiro al 2700		L32 Regreso	1
"64ø 11' 2.2605"" W"	"31ø 23' 5.5744"" S"	Mariano Fragueiro al 2600		L32 Regreso	1
"64ø 11' 2.0563"" W"	"31ø 23' 12.0251"" S"	Mariano Fragueiro al 2400		L32 Regreso	1
"64ø 11' 2.0640"" W"	"31ø 23' 23.4628"" S"	Mariano Fragueiro al 2200		L32 Regreso	1
"64ø 11' 5.7682"" W"	"31ø 23' 36.0956"" S"	Mariano Fragueiro al 1900		L32 Regreso	1
"64ø 11' 9.0266"" W"	"31ø 23' 43.9797"" S"	Mariano Fragueiro al 1700		L32 Regreso	1
"64ø 11' 12.2481"" W"	"31ø 23' 51.8759"" S"	Mariano Fragueiro al 1500		L32 Regreso	1
"64ø 11' 13.8988"" W"	"31ø 23' 55.9960"" S"	Mariano Fragueiro al 1400		L32 Regreso	1
"64ø 11' 14.5690"" W"	"31ø 24' 5.5260"" S"	Gral. Bustos al 600		L32 Regreso	1
"64ø 11' 6.8252"" W"	"31ø 24' 7.9307"" S"	Gral. Bustos al 400		L32 Regreso	1
"64ø 10' 58.2128"" W"	"31ø 24' 17.8414"" S"	Av Roque S enz Pe¤a y Bv. Las heras		L32 Regreso	1
"64ø 11' 3.2758"" W"	"31ø 24' 32.7810"" S"	Gral. Paz al 500		L32 Regreso	1
"64ø 11' 7.6630"" W"	"31ø 24' 43.1542"" S"	Gral. Paz al 200		L32 Regreso	1
"64ø 11' 14.5607"" W"	"31ø 24' 59.7894"" S"	Av V‚lez Sarsfield al 100		L32 Regreso	1
"64ø 11' 20.8446"" W"	"31ø 25' 14.6811"" S"	Av V‚lez Sarsfield al 400		L32 Regreso	1
"64ø 11' 24.4340"" W"	"31ø 25' 23.1651"" S"	Av V‚lez Sarsfield al 600		L32 Regreso	1
"64ø 11' 22.8924"" W"	"31ø 25' 37.8773"" S"	Av Pueyrred¢n al 70		L32 Regreso	1
"64ø 11' 23.0958"" W"	"31ø 25' 45.4585"" S"	Independencia al 1100		L32 Regreso	1
"64ø 11' 27.4303"" W"	"31ø 25' 55.0030"" S"	Independencia al 1400		L32 Regreso	1
"64ø 11' 29.6173"" W"	"31ø 26' 4.1551"" S"	Medina Allende		L32 Regreso	1
"64ø 11' 32.5729"" W"	"31ø 26' 13.7994"" S"	Medina Allende y Haya de La Torre		L32 Regreso	1
"64ø 11' 35.9598"" W"	"31ø 26' 28.6861"" S"	Maestro Lopez (frente UTN)		L32 Regreso	1
"64ø 11' 37.7857"" W"	"31ø 26' 31.4712"" S"	Maestro Lopez y Cruz Roja Argentina		L32 Regreso	1
"64ø 11' 58.2552"" W"	"31ø 26' 32.9812"" S"	Av Naciones Unidas y Friuli		L32 Regreso	1
"64ø 12' 10.9869"" W"	"31ø 26' 30.6878"" S"	Av Naciones Unidas y Arturo M. Bas		L32 Regreso	
"64ø 12' 26.9749"" W"	"31ø 26' 28.3185"" S"	Naciones Unidas y Pedro de Mendoza		L32 Regreso	
"64ø 12' 31.9940"" W"	"31ø 26' 35.9152"" S"	Paso de Los Andes al 2800		L32 Regreso	1
"64ø 12' 33.2894"" W"	"31ø 26' 40.6032"" S"	Paso de Los Andes al 2900		L32 Regreso	1
"64ø 12' 39.0637"" W"	"31ø 26' 43.2006"" S"	Manuel Baigorria y cruce Cacheuta		L32 Regreso	1
"64ø 12' 41.7901"" W"	"31ø 26' 47.0142"" S"	Cacheuta al 3200		L32 Regreso	1
"64ø 12' 43.8247"" W"	"31ø 26' 53.3747"" S"	Cacheuta y Virgilio Moyano		L32 Regreso	1
"64ø 12' 45.3439"" W"	"31ø 26' 58.5774"" S"	Cacheuta al 3600		L32 Regreso	1
"64ø 12' 47.1946"" W"	"31ø 27' 4.9148"" S"	Cacheuta y Tafi		L32 Regreso	1
"64ø 12' 49.1715"" W"	"31ø 27' 11.7890"" S"	Cacheuta Trelew		L32 Regreso	1
"64ø 12' 52.0071"" W"	"31ø 27' 21.5418"" S"	Cacheuta y Huiliches		L32 Regreso	1
"64ø 12' 55.3287"" W"	"31ø 27' 32.4989"" S"	Cacheuta al 4300		L32 Regreso	1
"64ø 13' 4.1514"" W"	"31ø 27' 40.1025"" S"	Av Armada Argentina al 1600		L32 Regreso	1
"64ø 13' 27.6273"" W"	"31ø 27' 57.5253"" S"	Lago Argentino al 1800		L32 Regreso	1
"64ø 13' 32.7338"" W"	"31ø 27' 53.0319"" S"	Lago Argentino al 2100		L32 Regreso	1
"64ø 13' 41.7240"" W"	"31ø 27' 57.5121"" S"	Av Casado al 1700		L32 Regreso	1
"64ø 13' 46.0499"" W"	"31ø 28' 1.0560"" S"	Av Casado al 1800		L32 Regreso	1
"64ø 13' 52.9439"" W"	"31ø 28' 6.7037"" S"	Av Casado al 2000		L32 Regreso	1
"64ø 14' 0.7520"" W"	"31ø 28' 13.0862"" S"	Av Casado al 2200		L32 Regreso	1
"64ø 14' 13.9194"" W"	"31ø 28' 21.4665"" S"	Av Renault Argentina al 2200		L32 Regreso	1
"64ø 14' 20.3622"" W"	"31ø 28' 23.0450"" S"	L33 (PP)		L33 Ida	1
"64ø 14' 20.9276"" W"	"31ø 28' 22.9572"" S"	Av Curazao al 2500		L33 Ida	1
"64ø 14' 30.0386"" W"	"31ø 28' 30.4210"" S"	Av Curazao al 2700		L33 Ida	1
"64ø 14' 40.7235"" W"	"31ø 28' 32.2321"" S"	Calle Publica s/n		L33 Ida	
"64ø 14' 48.2881"" W"	"31ø 28' 32.0972"" S"	Calle Publica s/n		L33 Ida	
"64ø 14' 50.1939"" W"	"31ø 28' 37.5847"" S"	Calle Publica s/n		L33 Ida	
"64ø 14' 47.0342"" W"	"31ø 28' 44.3438"" S"	Av Curazao al 3400		L33 Ida	1
"64ø 14' 55.1638"" W"	"31ø 28' 51.0035"" S"	Av Curazao al 3150		L33 Ida	1
"64ø 15' 6.5980"" W"	"31ø 28' 53.4974"" S"	Usuahia S/N		L33 Ida	1
"64ø 15' 12.5557"" W"	"31ø 28' 49.7677"" S"	Nantes Y Cheburgo		L33 Ida	1
"64ø 15' 16.7841"" W"	"31ø 28' 51.6415"" S"	Avignon y Versalles		L33 Ida	1
"64ø 15' 6.8291"" W"	"31ø 28' 53.5637"" S"	Usuhaia S/N		L33 Ida	1
"64ø 14' 57.4008"" W"	"31ø 28' 53.8323"" S"	Usuhaia y Masaya		L33 Ida	1
"64ø 14' 42.8473"" W"	"31ø 28' 53.8714"" S"	Usuhaia y Tikal		L33 Ida	
"64ø 14' 35.9750"" W"	"31ø 28' 53.7375"" S"	Usuhaia y Morazan		L33 Ida	
"64ø 14' 21.4780"" W"	"31ø 28' 53.9686"" S"	Usuhaia y Albany		L33 Ida	
"64ø 14' 5.9707"" W"	"31ø 28' 53.9413"" S"	Usuhaia y Rio Colorado		L33 Ida	
"64ø 14' 4.4547"" W"	"31ø 29' 3.6350"" S"	R¡o Colorado y Cipolleti		L33 Ida	1
"64ø 14' 4.5849"" W"	"31ø 29' 8.6710"" S"	R¡o Colorado y Valcheta		L33 Ida	1
"64ø 13' 36.4271"" W"	"31ø 29' 11.3312"" S"	Tunuyan y Rio Negro		L33 Ida	1
"64ø 13' 30.8493"" W"	"31ø 29' 0.9183"" S"	Rio Negro y Cottolengo		L33 Ida	
"64ø 13' 27.1551"" W"	"31ø 28' 48.8330"" S"	Rio Negro y Cajamarca		L33 Ida	1
"64ø 13' 24.2134"" W"	"31ø 28' 37.1310"" S"	Rio Negro y Gobernacion		L33 Ida	1
"64ø 13' 19.4125"" W"	"31ø 28' 19.0447"" S"	R¡o Negro y Carmelo Ibarra		L33 Ida	1
"64ø 13' 17.4408"" W"	"31ø 28' 11.2972"" S"	R¡o Negro (Catedral MEDEA)		L33 Ida	1
"64ø 13' 8.5761"" W"	"31ø 28' 3.1956"" S"	R¡o Quilpo y Rio de las Letanias		L33 Ida	
"64ø 13' 12.6427"" W"	"31ø 27' 55.0371"" S"	Arroyo Reduccion y Rio Negro		L33 Ida	
"64ø 13' 21.0661"" W"	"31ø 27' 59.9646"" S"	Salinas Grande y Rio de Cajon		L33 Ida	
"64ø 13' 23.7164"" W"	"31ø 27' 58.7848"" S"	Av. Armada Argentina al 1500 (refugio)		L33 Ida	1
"64ø 12' 58.5531"" W"	"31ø 27' 37.6823"" S"	Av. Armada Argentina Canal de Los Olmos(refugio)		L33 Ida	1
"64ø 12' 43.5637"" W"	"31ø 27' 30.0749"" S"	Av Armada Argentina al 800		L33 Ida	1
"64ø 12' 30.7497"" W"	"31ø 27' 23.1267"" S"	Av Armada Argentina al 500		L33 Ida	1
"64ø 12' 21.2097"" W"	"31ø 27' 12.5257"" S"	Av Armada Argentina al 350		L33 Ida	1
"64ø 12' 16.9115"" W"	"31ø 27' 9.1435"" S"	Av Armada Argentina al 275		L33 Ida	1
"64ø 12' 5.1998"" W"	"31ø 27' 3.6102"" S"	Av Armada Argentina al 20		L33 Ida	1
"64ø 11' 58.5807"" W"	"31ø 26' 59.1882"" S"	Av V‚lez Sarsfield al 3450		L33 Ida	1
"64ø 11' 56.3074"" W"	"31ø 26' 52.5377"" S"	Av V‚lez Sarsfield al 3260		L33 Ida	1
"64ø 11' 53.4701"" W"	"31ø 26' 43.6343"" S"	Av V‚lez Sarsfield al 3000		L33 Ida	1
"64ø 11' 47.2500"" W"	"31ø 26' 24.6810"" S"	Av Velez Sarsfield al 2400		L33 Ida	1
"64ø 11' 41.6946"" W"	"31ø 26' 7.2000"" S"	Av V‚lez Sarsfield al 1900		L33 Ida	1
"64ø 11' 42.0070"" W"	"31ø 25' 52.2218"" S"	Gral. Manuel Belgrano al 1400		L33 Ida	1
"64ø 11' 39.4706"" W"	"31ø 25' 46.8389"" S"	Gral. Manuel Belgrano al 1275		L33 Ida	1
"64ø 11' 35.4242"" W"	"31ø 25' 37.0682"" S"	Gral. Manuel Belgrano al 1037		L33 Ida	1
"64ø 11' 31.1933"" W"	"31ø 25' 27.0949"" S"	Gral. Manuel Belgrano al 800		L33 Ida	1
"64ø 11' 23.5674"" W"	"31ø 25' 13.0109"" S"	Gral. Manuel Belgrano al 450		L33 Ida	1
"64ø 11' 15.7483"" W"	"31ø 24' 50.3935"" S"	Tucum n al 160		L33 Ida	1
"64ø 11' 9.9300"" W"	"31ø 24' 37.4370"" S"	Tucum n al 384		L33 Ida	1
"64ø 11' 6.6888"" W"	"31ø 24' 28.7744"" S"	L33		L33 Regreso	1
"64ø 11' 8.6605"" W"	"31ø 24' 45.5532"" S"	Gral. Paz al 290		L33 Regreso	1
"64ø 11' 14.8195"" W"	"31ø 25' 0.4028"" S"	Av V‚lez Sarsfield al 144		L33 Regreso	1
"64ø 11' 21.1287"" W"	"31ø 25' 15.4014"" S"	Av V‚lez Sarsfield al 500		L33 Regreso	1
"64ø 11' 28.2956"" W"	"31ø 25' 32.1336"" S"	Av Velez Sarsfield al 884		L33 Regreso	
"64ø 11' 32.8009"" W"	"31ø 25' 42.9854"" S"	Av V‚lez Sarsfield 1170		L33 Regreso	1
"64ø 11' 37.4211"" W"	"31ø 25' 54.1122"" S"	Av V‚lez Sarsfield al 1500		L33 Regreso	1
"64ø 11' 49.0406"" W"	"31ø 26' 26.9143"" S"	Av V‚lez Sarsfield 2400		L33 Regreso	1
"64ø 11' 52.8752"" W"	"31ø 26' 39.7277"" S"	Av V‚lez Sarsfield 3160		L33 Regreso	1
"64ø 11' 58.2157"" W"	"31ø 26' 54.8112"" S"	Av V‚lez Sarsfield al 3300		L33 Regreso	1
"64ø 12' 2.9696"" W"	"31ø 27' 1.8696"" S"	Av Armada Argentina al 20		L33 Regreso	1
"64ø 12' 10.8358"" W"	"31ø 27' 4.4794"" S"	Av Armada Argentina 186		L33 Regreso	1
"64ø 12' 27.3016"" W"	"31ø 27' 16.2819"" S"	Av Armada Argentina al 426		L33 Regreso	1
"64ø 12' 31.7579"" W"	"31ø 27' 22.9231"" S"	Av Armada Argentina 546		L33 Regreso	1
"64ø 12' 41.7974"" W"	"31ø 27' 28.8873"" S"	Av Armada Argentina 794		L33 Regreso	1
"64ø 12' 52.2087"" W"	"31ø 27' 32.4778"" S"	Av Armada Argentina 652		L33 Regreso	1
"64ø 13' 5.9585"" W"	"31ø 27' 41.2375"" S"	Av Armada Argentina 1150		L33 Regreso	1
"64ø 13' 24.5259"" W"	"31ø 28' 1.7754"" S"	Defensa y Salinas Grande		L33 Regreso	1
"64ø 13' 15.6664"" W"	"31ø 27' 55.1901"" S"	Salinas Grandes y Lallagua		L33 Regreso	
"64ø 13' 7.8431"" W"	"31ø 27' 56.4245"" S"	Arroyo de la Reduccion y Rio Quilpo		L33 Regreso	
"64ø 13' 8.3377"" W"	"31ø 28' 1.3978"" S"	Rio Quilpo y Rio Ancasmayo		L33 Regreso	
"64ø 13' 16.8006"" W"	"31ø 28' 6.0245"" S"	Rio Negro y Defensa		L33 Regreso	
"64ø 13' 20.3305"" W"	"31ø 28' 18.8235"" S"	Rio Negro y Carmelo Ibarra		L33 Regreso	
"64ø 13' 22.4664"" W"	"31ø 28' 26.9829"" S"	Rio Negro y Bogota		L33 Regreso	
"64ø 13' 25.0992"" W"	"31ø 28' 36.7885"" S"	Rio Negro y Gobernaci¢n		L33 Regreso	
"64ø 13' 27.7166"" W"	"31ø 28' 46.6643"" S"	Rio Negro y Cajamarca		L33 Regreso	
"64ø 13' 31.4739"" W"	"31ø 29' 0.6861"" S"	Rio Negro y Cottolengo		L33 Regreso	
"64ø 13' 34.1431"" W"	"31ø 29' 10.3919"" S"	Rio Negro y Tunuyan		L33 Regreso	
"64ø 13' 50.3206"" W"	"31ø 29' 9.6681"" S"	Tunuyan S/N		L33 Regreso	1
"64ø 14' 4.5346"" W"	"31ø 29' 4.7465"" S"	R¡o Colorado y Cipolleti		L33 Regreso	1
"64ø 14' 4.0403"" W"	"31ø 28' 59.1309"" S"	R¡o Colorado y y Malaspina		L33 Regreso	1
"64ø 14' 9.4901"" W"	"31ø 28' 53.6478"" S"	Usuhaia y Virginia		L33 Regreso	
"64ø 14' 20.2862"" W"	"31ø 28' 53.2828"" S"	Usuhaia y Albani		L33 Regreso	
"64ø 14' 35.9750"" W"	"31ø 28' 53.7375"" S"	Usuhaia y Morazan		L33 Regreso	1
"64ø 14' 42.8473"" W"	"31ø 28' 53.8714"" S"	Usuhaia y Tikal		L33 Regreso	1
"64ø 14' 57.4008"" W"	"31ø 28' 53.8323"" S"	Usuhaia y Masaya		L33 Regreso	1
"64ø 15' 6.8291"" W"	"31ø 28' 53.5637"" S"	Usuhaia S/N		L33 Regreso	1
"64ø 15' 16.7841"" W"	"31ø 28' 51.6415"" S"	Avignon y Versalles		L33 Regreso	1
"64ø 15' 12.5557"" W"	"31ø 28' 49.7677"" S"	Nantes Y Cheburgo		L33 Regreso	1
"64ø 15' 6.5980"" W"	"31ø 28' 53.4974"" S"	Usuahia S/N		L33 Regreso	1
"64ø 14' 55.1638"" W"	"31ø 28' 51.0035"" S"	Av Curazao al 3150		L33 Regreso	1
"64ø 14' 47.0342"" W"	"31ø 28' 44.3438"" S"	Av Curazao al 3400		L33 Regreso	1
"64ø 14' 50.1939"" W"	"31ø 28' 37.5847"" S"	Calle Publica s/n		L33 Regreso	1
"64ø 14' 48.2881"" W"	"31ø 28' 32.0972"" S"	Calle Publica s/n		L33 Regreso	1
"64ø 14' 48.2881"" W"	"31ø 28' 32.0972"" S"	Calle Publica s/n		L33 Regreso	1
"64ø 14' 40.7235"" W"	"31ø 28' 32.2321"" S"	Calle Publica s/n		L33 Regreso	1
"64ø 14' 30.0386"" W"	"31ø 28' 30.4210"" S"	Av Curazao al 2700		L33 Regreso	1
"64ø 14' 20.9276"" W"	"31ø 28' 22.9572"" S"	Av Curazao al 2500		L33 Regreso	1
"64ø 14' 26.1652"" W"	"31ø 29' 14.3847"" S"	L34 (PP)		L 34 Ida	1
"64ø 14' 26.5653"" W"	"31ø 29' 13.8127"" S"	Univ. Cat¢lica C¢rdoba		L 34 Ida	1
"64ø 14' 44.9364"" W"	"31ø 29' 8.8949"" S"	Av Armada Argentina al 3400		L 34 Ida	1
"64ø 14' 35.0426"" W"	"31ø 28' 58.6641"" S"	Av Armada Argentina al 3100		L 34 Ida	1
"64ø 14' 23.0823"" W"	"31ø 28' 48.2951"" S"	Av Armada Argentina al 2750		L 34 Ida	1
"64ø 14' 2.7566"" W"	"31ø 28' 31.8999"" S"	Av Armada Argentina al 2300		L 34 Ida	1
"64ø 13' 46.1279"" W"	"31ø 28' 17.2339"" S"	Av Armada Argentina y Alto del Tala		L 34 Ida	1
"64ø 13' 30.6747"" W"	"31ø 28' 4.3282"" S"	Av Armada Argentina al 1840		L 34 Ida	1
"64ø 13' 19.7144"" W"	"31ø 27' 55.0785"" S"	Av Armada Argentina al 1600		L 34 Ida	1
"64ø 12' 58.5531"" W"	"31ø 27' 37.6823"" S"	Av. Armada Argentina Canal de Los Olmos(refugio)		L 34 Ida	1
