stop_id,stop_lat,stop_lon,stop_calle,stop_esquina
7303,-31.4247907912285,-64.17134862017492,Bv. Juan Domingo Peron 901,Fte. Nueva Terminal De Omnibus
7304,-31.42206800540122,-64.17473617063813,Bv. Juan Domingo Peron 300,Fte. Terminal De Omnibus
7305,-31.4192441246364,-64.17731547660149,San Jeronimo 571,Entre Balcarce Y Parana
7306,-31.41856153790388,-64.17966008721342,San Jeronimo 375,Entre Ob. Salguero Y Chacabuco
8397,-31.41661064467306,-64.186151200887,27 De Abril 110,Entre Obispo Trejo Y Av. Velez Sarsfield
8398,-31.43189864382217,-64.19640794508587,Richardson 374,Entre Gral. Manuel Belgrano Y Ayacucho
8399,-31.43247200797152,-64.19971652114282,Santa Maria 1646,Entre Marcelo T. De Alvear Y Eduardo Ferreyra
8400,-31.43571714944962,-64.19908647959171,Ayacucho 2000,Esq. Juan Gil
8401,-31.43796335321425,-64.1996997185992,Ayacucho 2086,Esq. Benito Soria
8402,-31.4409090484195,-64.20040263498835,Ayacucho 2490,Esq. Dr. Enrique Finocchetto
8210,-31.44940051322611,-64.20934383786991,Parga 3590,Esq. Soaje
8405,-31.45678212471308,-64.21108896289815,Huiliches 890,Esq. Tartagal
8406,-31.45626146568638,-64.21367809954863,Huiliches 1090,Esq. Cacheuta
8407,-31.45577509968661,-64.2159547003978,Huiliches 1126,Entre Ancona Y Publica E
8408,-31.455430738627,-64.21760106893441,Huiliches 1272,Esq. Rio Negro
8409,-31.45551179765532,-64.22005990745943,Cafayate S/N,Mz. 20 Lote 6 (Darsena)
8410,-31.45423828579163,-64.22110619081579,Calle Publica S/N,Mz. 3 Lote 16
8411,-31.45451188913907,-64.22314104035598,Calle Publica S/N,Mz. 5 Lote 12
8412,-31.45457388898043,-64.22480657776781,Calle Publica Final S/N,Mz. 27 Lote 4
8413,-31.45555349710676,-64.22526517420889,Av Publica S/N,(Regreso)
8414,-31.45674592242689,-64.22401264367979,Av Publica S/N,Esq. Calle Publica Regreso
