stop_id,40.ida,40.reg,41.ida ,41.reg,42.ida,42.reg,43.ida,43.reg,44.ida,44.reg,50.ida,50.reg,51.ida,51.reg,52.ida,52.reg,53.ida,53.reg,54.ida,54.reg,55.ida,55.reg,d50.ida,d50.reg,500,501,600,601
7107,,X,X,,X,,,,,,X,,,,,,,,,,,,,,,,,
7108,,X,X,,X,,,,,,X,,,,,,,,,,,,,,,,,
7109,,X,X,,X,,,,,,X,,,,,,,,,,,,,,,,,
7110,,X,X,,X,,,,,,X,,,,,,,,,,,,,,,,,
7111,,X,X,,X,,,,,,X,,,,,,,,X,,,,,,,,,
7112,,X,X,,X,,,,,,X,,,,,,,,X,,,,,,,,,
7113,,X,X,,X,,,,,,X,,,,,,,,X,,,,,,,,,
7114,,X,X,,X,,,,X,,X,,,X,X,,,X,X,,,,,,,,,
7115,,X,X,,X,,,,X,,X,,,X,X,,,X,X,,,,X,,,,,
7116,,X,,,X,,,,,,,,,,,,,,,,,,,,,,,
7117,,X,,,X,,,,,,,,,,,,,,,,,,,,,,,
7118,,X,,,X,,,,,,,,,,,,,,,,,,,,,,,
7119,,X,,,X,,,,,,,,,,,,,,,,,,,,,X,,
7120,,X,,,X,,,,,,,,,,,,,,,,,,,,,X,,
7121,,X,,,X,,,,,,,,,,,,,,,,,,,,,X,,
7122,,X,,,X,,,,,,,,,,,,,,,,,,,,,,,
7123,,X,,,X,,,,,,,,,,,,,,,,,,,,,,,
7124,,X,,,X,,,,,,,,,,,,,,,,,,,,,,,
7125,,X,,,X,,,,,,,,,,,,,,,,,,,,,,,
7126,,X,,,X,,,,,,,,,,,,,,,,,,,,,,,
7127,,X,,,X,,,,,,,,,,,,,,,,,,,,,,,
7128,,X,,,X,,,,,,,,,,,,,,,,,,,,,,,
7129,,X,,,,,,,,,,,,,,,,,,,,,,,,,,
7130,,X,,,,,,,,,,,,,,,,,,,,,,,,,,
7131,,X,,,,,,,,,,,,,,,,,,,,,,,,,,
7132,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7133,,X,,,,,,,,,,,,,,,,,,,,,,,,,,
7134,,X,,,,,,,,,,,,,,,,,,,,,,,,,,
7135,,X,,,,,,,,,,,,,,,,,,,,,,,,,,
7136,,X,,,,,,,,,,,,,,,,,,,,,,,,,,
7137,,X,,,,,,,,,,,,,,,,,,,,,,,,,,
7138,,X,,,,,,,,,,,,,,,,,,,,,,,,,,
7139,,X,,,,,,,,,,,,,,,,,,,,,,,,,,
7140,,X,,,,,,,,,,,,,,,,,,,,,,,,,,
7141,,X,,,,,,,,,,,,,,,,,,,,,,,,,,
7142,,X,,,,,,,,,,,,,,,,,,,,,,,,,,
7143,,X,,,,,,,,,,,,,,,,,,,,,,,,,,
7144,,X,,,,,,,,,,,,,,,,,,,,,,,,,,
7145,,X,,,,,,,,,,,,,,,,,,,,,,,,,,
7146,,X,,,,,,,,,,,,,,,,,,,,,,,,,,
7147,,X,,,,,,,,,,,,,,,,,,,,,,,,,,
7148,,X,,,,,,,,,,,,,,,,,,,,,,,,,,
7149,,X,,,,,,,,,,,,,,,,,,,,,,,,,,
7150,,X,,,,,,,,,,,,,,,,,,,,,,,,,,
7151,,X,,,,,,,,,,,,,,,,,,,,,,,,,,
