LONGITUDE,LATITUDE,LABEL,LAYER,SYMBOL,KML_FOLDER,open
64ø 15' 47.1185" W,31ø 24' 55.8507" S,Namuncura y Quinchan,Unknown Point Feature,"PARADAS GRUPO 4_kml_maps_google_com_mapfiles_kml_shapes_realestate_png",Parada L43 ida,
64ø 15' 40.1368" W,31ø 24' 55.8066" S,Namuncura y Antofagasta,Unknown Point Feature,"PARADAS GRUPO 4_kml_maps_google_com_mapfiles_kml_shapes_realestate_png",Parada L43 ida,
64ø 15' 29.6820" W,31ø 24' 55.7697" S,Namuncura y Paine,Unknown Point Feature,"PARADAS GRUPO 4_kml_maps_google_com_mapfiles_kml_shapes_realestate_png",Parada L43 ida,
64ø 15' 20.8297" W,31ø 24' 49.7705" S,Paine y Pichu,Unknown Point Feature,"PARADAS GRUPO 4_kml_maps_google_com_mapfiles_kml_shapes_realestate_png",Parada L43 ida,
64ø 15' 10.2636" W,31ø 24' 41.2218" S,Av Santa Ana y A Valenti,Unknown Point Feature,"PARADAS GRUPO 4_kml_maps_google_com_mapfiles_kml_shapes_realestate_png",Parada L43 ida,1
64ø 14' 56.4644" W,31ø 24' 42.1586" S,Av Santa Ana y Locatelli,Unknown Point Feature,"PARADAS GRUPO 4_kml_maps_google_com_mapfiles_kml_shapes_realestate_png",Parada L43 ida,1
64ø 14' 42.0641" W,31ø 24' 41.1395" S,Av Santa Ana y Cordero,Unknown Point Feature,"PARADAS GRUPO 4_kml_maps_google_com_mapfiles_kml_shapes_realestate_png",Parada L43 ida,1
64ø 14' 28.3533" W,31ø 24' 42.4877" S,Av Santa Ana y G Martinez,Unknown Point Feature,"PARADAS GRUPO 4_kml_maps_google_com_mapfiles_kml_shapes_realestate_png",Parada L43 ida,
64ø 14' 18.7416" W,31ø 24' 42.0702" S,Av Santa Ana y R Arias,Unknown Point Feature,"PARADAS GRUPO 4_kml_maps_google_com_mapfiles_kml_shapes_realestate_png",Parada L43 ida,
64ø 14' 2.7147" W,31ø 24' 43.3236" S,Av Santa Ana y Merlote,Unknown Point Feature,"PARADAS GRUPO 4_kml_maps_google_com_mapfiles_kml_shapes_realestate_png",Parada L43 ida,
64ø 13' 49.5797" W,31ø 24' 45.7873" S,Av Santa Ana y F Paz,Unknown Point Feature,"PARADAS GRUPO 4_kml_maps_google_com_mapfiles_kml_shapes_realestate_png",Parada L43 ida,
64ø 13' 40.0071" W,31ø 24' 47.1973" S,Av Santa Ana y Los Platanos,Unknown Point Feature,"PARADAS GRUPO 4_kml_maps_google_com_mapfiles_kml_shapes_realestate_png",Parada L43 ida,
64ø 13' 29.9968" W,31ø 24' 49.0748" S,Av Santa Ana y M Vidal,Unknown Point Feature,"PARADAS GRUPO 4_kml_maps_google_com_mapfiles_kml_shapes_realestate_png",Parada L43 ida,
64ø 13' 7.6907" W,31ø 24' 53.8116" S,Av Santa Ana y Sarmiento,Unknown Point Feature,"PARADAS GRUPO 4_kml_maps_google_com_mapfiles_kml_shapes_realestate_png",Parada L43 ida,
64ø 12' 47.0609" W,31ø 24' 57.7703" S,Av Santa Ana y Oca¤a,Unknown Point Feature,"PARADAS GRUPO 4_kml_maps_google_com_mapfiles_kml_shapes_realestate_png",Parada L43 ida,
64ø 12' 29.5007" W,31ø 25' 5.2177" S,Av Santa Ana y R Negro,Unknown Point Feature,"PARADAS GRUPO 4_kml_maps_google_com_mapfiles_kml_shapes_realestate_png",Parada L43 ida,
64ø 12' 24.2031" W,31ø 24' 55.8938" S,Batalla de Cepeda y Cardenas,Unknown Point Feature,"PARADAS GRUPO 4_kml_maps_google_com_mapfiles_kml_shapes_realestate_png",Parada L43 ida,
64ø 12' 18.0777" W,31ø 24' 52.5117" S,Batalla de Cepeda y Azpetia,Unknown Point Feature,"PARADAS GRUPO 4_kml_maps_google_com_mapfiles_kml_shapes_realestate_png",Parada L43 ida,
64ø 12' 10.5314" W,31ø 24' 51.0267" S,Batalla de Cepeda y D Quiros,Unknown Point Feature,"PARADAS GRUPO 4_kml_maps_google_com_mapfiles_kml_shapes_realestate_png",Parada L43 ida,
64ø 11' 57.3282" W,31ø 24' 50.5369" S,Caseros y P de los Andes,Unknown Point Feature,"PARADAS GRUPO 4_kml_maps_google_com_mapfiles_kml_shapes_realestate_png",Parada L43 ida,
64ø 11' 45.1532" W,31ø 24' 54.2075" S,Caseros y Artigas,Unknown Point Feature,"PARADAS GRUPO 4_kml_maps_google_com_mapfiles_kml_shapes_realestate_png",Parada L43 ida,
64ø 11' 35.2402" W,31ø 24' 46.5898" S,M Fragueiro y D Funes,Unknown Point Feature,"PARADAS GRUPO 4_kml_maps_google_com_mapfiles_kml_shapes_realestate_png",Parada L43 ida,
64ø 11' 25.6765" W,31ø 24' 41.9159" S,Colon y Ca¤ada,Unknown Point Feature,"PARADAS GRUPO 4_kml_maps_google_com_mapfiles_kml_shapes_realestate_png",Parada L43 ida,
64ø 11' 6.7226" W,31ø 24' 47.5042" S,Colon y G Paz,Unknown Point Feature,"PARADAS GRUPO 4_kml_maps_google_com_mapfiles_kml_shapes_realestate_png",Parada L43 ida,
64ø 10' 52.7543" W,31ø 24' 51.7833" S,Colon y Rivadavia,Unknown Point Feature,"PARADAS GRUPO 4_kml_maps_google_com_mapfiles_kml_shapes_realestate_png",Parada L43 ida,
64ø 10' 36.7585" W,31ø 24' 56.0798" S,Olmos y Santiago del Estero,Unknown Point Feature,"PARADAS GRUPO 4_kml_maps_google_com_mapfiles_kml_shapes_realestate_png",Parada L43 ida,
64ø 10' 19.7259" W,31ø 25' 6.5352" S,Arena y R Santa Fe,Unknown Point Feature,"PARADAS GRUPO 4_kml_maps_google_com_mapfiles_kml_shapes_realestate_png",Parada L43 ida,
64ø 16' 3.8402" W,31ø 24' 14.2374" S,Los Tartagos y C Publica,Unknown Point Feature,"PARADAS GRUPO 4_kml_maps_google_com_mapfiles_kml_shapes_realestate_png",Parada L43 ida,
64ø 09' 18.5446" W,31ø 25' 52.3384" S,L43,Unknown Point Feature,"PARADAS GRUPO 4_kml_maps_google_com_mapfiles_kml_shapes_bus_png",,
64ø 10' 10.7558" W,31ø 25' 41.1317" S,Bajada Pucara y Ferroviarios,Unknown Point Feature,"PARADAS GRUPO 4_kml_maps_google_com_mapfiles_kml_shapes_realestate_png",Paradas L 43 regreso,
64ø 09' 56.7333" W,31ø 25' 44.3006" S,Ferroviarios y Husares,Unknown Point Feature,"PARADAS GRUPO 4_kml_maps_google_com_mapfiles_kml_shapes_realestate_png",Paradas L 43 regreso,
64ø 09' 45.7088" W,31ø 25' 46.0065" S,Ferroviarios y Herrera,Unknown Point Feature,"PARADAS GRUPO 4_kml_maps_google_com_mapfiles_kml_shapes_realestate_png",Paradas L 43 regreso,
64ø 09' 35.2589" W,31ø 25' 49.2292" S,Ferroviarios y Hassasa,Unknown Point Feature,"PARADAS GRUPO 4_kml_maps_google_com_mapfiles_kml_shapes_realestate_png",Paradas L 43 regreso,
64ø 09' 26.5298" W,31ø 25' 51.1554" S,Ferroviarios y Barcelona,Unknown Point Feature,"PARADAS GRUPO 4_kml_maps_google_com_mapfiles_kml_shapes_realestate_png",Paradas L 43 regreso,
64ø 09' 19.2017" W,31ø 25' 51.7757" S,Ferroviarios y Tejedor,Unknown Point Feature,"PARADAS GRUPO 4_kml_maps_google_com_mapfiles_kml_shapes_realestate_png",Paradas L 43 regreso,
64ø 09' 21.9133" W,31ø 25' 47.6726" S,Goethe y Morse,Unknown Point Feature,"PARADAS GRUPO 4_kml_maps_google_com_mapfiles_kml_shapes_realestate_png",Paradas L 43 regreso,
64ø 09' 22.1289" W,31ø 25' 41.5764" S,Morse y E Curie,Unknown Point Feature,"PARADAS GRUPO 4_kml_maps_google_com_mapfiles_kml_shapes_realestate_png",Paradas L 43 regreso,
64ø 09' 26.5298" W,31ø 25' 51.1554" S,Ferroviarios y Barcelona,Unknown Point Feature,"PARADAS GRUPO 4_kml_maps_google_com_mapfiles_kml_shapes_realestate_png",Paradas L 43 regreso,1
64ø 09' 35.2589" W,31ø 25' 49.2292" S,Ferroviarios y Hassasa,Unknown Point Feature,"PARADAS GRUPO 4_kml_maps_google_com_mapfiles_kml_shapes_realestate_png",Paradas L 43 regreso,1
64ø 09' 45.7088" W,31ø 25' 46.0065" S,Ferroviarios y Herrera,Unknown Point Feature,"PARADAS GRUPO 4_kml_maps_google_com_mapfiles_kml_shapes_realestate_png",Paradas L 43 regreso,1
64ø 09' 26.2246" W,31ø 25' 45.6576" S,Barcelona y Saldias,Unknown Point Feature,"PARADAS GRUPO 4_kml_maps_google_com_mapfiles_kml_shapes_realestate_png",Paradas L 43 regreso,
64ø 09' 56.7333" W,31ø 25' 44.3006" S,Ferroviarios y Husares,Unknown Point Feature,"PARADAS GRUPO 4_kml_maps_google_com_mapfiles_kml_shapes_realestate_png",Paradas L 43 regreso,1
64ø 10' 7.4459" W,31ø 25' 45.8323" S,Arribe¤os y Misque,Unknown Point Feature,"PARADAS GRUPO 4_kml_maps_google_com_mapfiles_kml_shapes_realestate_png",Paradas L 43 regreso,
64ø 10' 9.6810" W,31ø 25' 39.6160" S,Bajada Pucara y Ferroviarios,Unknown Point Feature,"PARADAS GRUPO 4_kml_maps_google_com_mapfiles_kml_shapes_realestate_png",Paradas L 43 regreso,1
64ø 10' 21.4204" W,31ø 25' 27.1470" S,B Peron ( frente nueva terminal de Omnibus),Unknown Point Feature,"PARADAS GRUPO 4_kml_maps_google_com_mapfiles_kml_shapes_realestate_png",Paradas L 43 regreso,
64ø 10' 29.5414" W,31ø 25' 19.1407" S,B Peron y Allende,Unknown Point Feature,"PARADAS GRUPO 4_kml_maps_google_com_mapfiles_kml_shapes_realestate_png",Paradas L 43 regreso,
64ø 10' 46.5124" W,31ø 25' 6.7166" S,San Jeronimo y Salta,Unknown Point Feature,"PARADAS GRUPO 4_kml_maps_google_com_mapfiles_kml_shapes_realestate_png",Paradas L 43 regreso,
64ø 10' 37.0302" W,31ø 25' 9.2419" S,San Jeronimo y Balcarce,Unknown Point Feature,"PARADAS GRUPO 4_kml_maps_google_com_mapfiles_kml_shapes_realestate_png",Paradas L 43 regreso,
64ø 11' 12.7529" W,31ø 24' 58.3468" S,27 de Abril y V Sarsfield,Unknown Point Feature,"PARADAS GRUPO 4_kml_maps_google_com_mapfiles_kml_shapes_realestate_png",Paradas L 43 regreso,
64ø 11' 25.1472" W,31ø 24' 54.6833" S,27 de Abril y F Alcorta,Unknown Point Feature,"PARADAS GRUPO 4_kml_maps_google_com_mapfiles_kml_shapes_realestate_png",Paradas L 43 regreso,
64ø 11' 45.1051" W,31ø 24' 48.9937" S,27 de Abril y Calazans,Unknown Point Feature,"PARADAS GRUPO 4_kml_maps_google_com_mapfiles_kml_shapes_realestate_png",Paradas L 43 regreso,
64ø 11' 58.3543" W,31ø 24' 49.1803" S,P de Los Andes y Caseros,Unknown Point Feature,"PARADAS GRUPO 4_kml_maps_google_com_mapfiles_kml_shapes_realestate_png",Paradas L 43 regreso,
64ø 12' 12.6680" W,31ø 24' 59.3207" S,B San Juan y Misiones,Unknown Point Feature,"PARADAS GRUPO 4_kml_maps_google_com_mapfiles_kml_shapes_realestate_png",Paradas L 43 regreso,
64ø 12' 25.5920" W,31ø 25' 0.3287" S,B San Juan y R Negro,Unknown Point Feature,"PARADAS GRUPO 4_kml_maps_google_com_mapfiles_kml_shapes_realestate_png",Paradas L 43 regreso,
64ø 12' 34.6603" W,31ø 24' 59.5381" S,S Ana y Urrutia,Unknown Point Feature,"PARADAS GRUPO 4_kml_maps_google_com_mapfiles_kml_shapes_realestate_png",Paradas L 43 regreso,
64ø 13' 7.4012" W,31ø 24' 53.2096" S,S Ana y Sarmiento,Unknown Point Feature,"PARADAS GRUPO 4_kml_maps_google_com_mapfiles_kml_shapes_realestate_png",Paradas L 43 regreso,
64ø 13' 30.2793" W,31ø 24' 48.5608" S,S Ana y M Vidal,Unknown Point Feature,"PARADAS GRUPO 4_kml_maps_google_com_mapfiles_kml_shapes_realestate_png",Paradas L 43 regreso,
64ø 13' 41.3175" W,31ø 24' 47.0974" S,S Ana y Los Platanos,Unknown Point Feature,"PARADAS GRUPO 4_kml_maps_google_com_mapfiles_kml_shapes_realestate_png",Paradas L 43 regreso,
64ø 12' 47.9689" W,31ø 24' 57.0192" S,S Ana y Oca¤a,Unknown Point Feature,"PARADAS GRUPO 4_kml_maps_google_com_mapfiles_kml_shapes_realestate_png",Paradas L 43 regreso,
64ø 13' 49.5797" W,31ø 24' 45.7873" S,Av Santa Ana y F Paz,Unknown Point Feature,"PARADAS GRUPO 4_kml_maps_google_com_mapfiles_kml_shapes_realestate_png",Paradas L 43 regreso,1
64ø 14' 2.7147" W,31ø 24' 43.3236" S,Av Santa Ana y Merlote,Unknown Point Feature,"PARADAS GRUPO 4_kml_maps_google_com_mapfiles_kml_shapes_realestate_png",Paradas L 43 regreso,1
64ø 14' 18.7416" W,31ø 24' 42.0702" S,Av Santa Ana y R Arias,Unknown Point Feature,"PARADAS GRUPO 4_kml_maps_google_com_mapfiles_kml_shapes_realestate_png",Paradas L 43 regreso,1
64ø 14' 28.3533" W,31ø 24' 42.4877" S,Av Santa Ana y G Martinez,Unknown Point Feature,"PARADAS GRUPO 4_kml_maps_google_com_mapfiles_kml_shapes_realestate_png",Paradas L 43 regreso,1
64ø 14' 42.0641" W,31ø 24' 41.1395" S,Av Santa Ana y Cordero,Unknown Point Feature,"PARADAS GRUPO 4_kml_maps_google_com_mapfiles_kml_shapes_realestate_png",Paradas L 43 regreso,1
64ø 14' 56.4644" W,31ø 24' 42.1586" S,Av Santa Ana y Locatelli,Unknown Point Feature,"PARADAS GRUPO 4_kml_maps_google_com_mapfiles_kml_shapes_realestate_png",Paradas L 43 regreso,1
64ø 15' 10.2636" W,31ø 24' 41.2218" S,Av Santa Ana y A Valenti,Unknown Point Feature,"PARADAS GRUPO 4_kml_maps_google_com_mapfiles_kml_shapes_realestate_png",Paradas L 43 regreso,1
64ø 15' 20.8297" W,31ø 24' 49.7705" S,Paine y Pichu,Unknown Point Feature,"PARADAS GRUPO 4_kml_maps_google_com_mapfiles_kml_shapes_realestate_png",Paradas L 43 regreso,1
64ø 15' 29.6820" W,31ø 24' 55.7697" S,Namuncura y Paine,Unknown Point Feature,"PARADAS GRUPO 4_kml_maps_google_com_mapfiles_kml_shapes_realestate_png",Paradas L 43 regreso,1
64ø 15' 40.1368" W,31ø 24' 55.8066" S,Namuncura y Antofagasta,Unknown Point Feature,"PARADAS GRUPO 4_kml_maps_google_com_mapfiles_kml_shapes_realestate_png",Paradas L 43 regreso,1
64ø 15' 47.1185" W,31ø 24' 55.8507" S,Namuncura y Quinchan,Unknown Point Feature,"PARADAS GRUPO 4_kml_maps_google_com_mapfiles_kml_shapes_realestate_png",Paradas L 43 regreso,1
64ø 15' 49.6154" W,31ø 24' 49.4476" S,Alto Alegre y Pichuin,Unknown Point Feature,"PARADAS GRUPO 4_kml_maps_google_com_mapfiles_kml_shapes_realestate_png",Paradas L 43 regreso,1
64ø 15' 49.7014" W,31ø 24' 42.5713" S,Alto Alegre y S Ana,Unknown Point Feature,"PARADAS GRUPO 4_kml_maps_google_com_mapfiles_kml_shapes_realestate_png",Paradas L 43 regreso,1
64ø 15' 50.8161" W,31ø 24' 33.0986" S,Cleto Aguirre y A Alegre,Unknown Point Feature,"PARADAS GRUPO 4_kml_maps_google_com_mapfiles_kml_shapes_realestate_png",Paradas L 43 regreso,1
64ø 15' 58.6533" W,31ø 24' 33.3526" S,Cleto Aguirre y Asia,Unknown Point Feature,"PARADAS GRUPO 4_kml_maps_google_com_mapfiles_kml_shapes_realestate_png",Paradas L 43 regreso,1
64ø 16' 7.5037" W,31ø 24' 33.2238" S,Cleto Aguirre y Ochiloe,Unknown Point Feature,"PARADAS GRUPO 4_kml_maps_google_com_mapfiles_kml_shapes_realestate_png",Paradas L 43 regreso,1
64ø 16' 8.2346" W,31ø 24' 25.6449" S,Ochiloe y Cortez Funes,Unknown Point Feature,"PARADAS GRUPO 4_kml_maps_google_com_mapfiles_kml_shapes_realestate_png",Paradas L 43 regreso,1
64ø 16' 3.8402" W,31ø 24' 14.2374" S,Los Tartagos y C Publica,Unknown Point Feature,"PARADAS GRUPO 4_kml_maps_google_com_mapfiles_kml_shapes_realestate_png",Paradas L 43 regreso,1
64ø 10' 16.9483" W,31ø 22' 12.8339" S,M Paz y Podesta,Unknown Point Feature,"PARADAS GRUPO 4_kml_maps_google_com_mapfiles_kml_shapes_realestate_png",Parada L 44 regreso,1
64ø 10' 20.7506" W,31ø 22' 3.4419" S,Neruda y M Cane,Unknown Point Feature,"PARADAS GRUPO 4_kml_maps_google_com_mapfiles_kml_shapes_realestate_png",Parada L 44 regreso,
64ø 10' 11.9222" W,31ø 22' 19.4145" S,Parravichini y M Paz,Unknown Point Feature,"PARADAS GRUPO 4_kml_maps_google_com_mapfiles_kml_shapes_realestate_png",Parada L 44 regreso,1
64ø 10' 20.1220" W,31ø 22' 23.7577" S,Ramirez y Parravichini,Unknown Point Feature,"PARADAS GRUPO 4_kml_maps_google_com_mapfiles_kml_shapes_realestate_png",Parada L 44 regreso,1
64ø 10' 17.8018" W,31ø 22' 29.4454" S,Toledo y Ramirez,Unknown Point Feature,"PARADAS GRUPO 4_kml_maps_google_com_mapfiles_kml_shapes_realestate_png",Parada L 44 regreso,1
64ø 10' 19.8281" W,31ø 22' 34.8140" S,Toledo y C Cabiche,Unknown Point Feature,"PARADAS GRUPO 4_kml_maps_google_com_mapfiles_kml_shapes_realestate_png",Parada L 44 regreso,1
64ø 10' 24.9405" W,31ø 22' 12.0476" S,M Paz he Issasc,Unknown Point Feature,"PARADAS GRUPO 4_kml_maps_google_com_mapfiles_kml_shapes_realestate_png",Parada L 44 regreso,
64ø 10' 16.9483" W,31ø 22' 12.8339" S,M Paz y Podesta,Unknown Point Feature,"PARADAS GRUPO 4_kml_maps_google_com_mapfiles_kml_shapes_realestate_png",Parada L 44 regreso,
64ø 10' 19.6175" W,31ø 22' 48.0847" S,Toledo y Capdevilla,Unknown Point Feature,"PARADAS GRUPO 4_kml_maps_google_com_mapfiles_kml_shapes_realestate_png",Parada L 44 regreso,1
64ø 10' 15.5805" W,31ø 23' 1.8245" S,Moscoso y Rodriguez,Unknown Point Feature,"PARADAS GRUPO 4_kml_maps_google_com_mapfiles_kml_shapes_realestate_png",Parada L 44 regreso,
64ø 10' 7.8905" W,31ø 23' 4.5167" S,Moscoso y R Siria,Unknown Point Feature,"PARADAS GRUPO 4_kml_maps_google_com_mapfiles_kml_shapes_realestate_png",Parada L 44 regreso,
64ø 10' 5.4367" W,31ø 23' 12.0982" S,Galleotti he Illiana,Unknown Point Feature,"PARADAS GRUPO 4_kml_maps_google_com_mapfiles_kml_shapes_realestate_png",Parada L 44 regreso,
64ø 10' 11.2728" W,31ø 23' 26.2971" S,Galleotti y Cramer,Unknown Point Feature,"PARADAS GRUPO 4_kml_maps_google_com_mapfiles_kml_shapes_realestate_png",Parada L 44 regreso,
64ø 10' 15.0969" W,31ø 23' 34.8912" S,Galleotti y Grote,Unknown Point Feature,"PARADAS GRUPO 4_kml_maps_google_com_mapfiles_kml_shapes_realestate_png",Parada L 44 regreso,
64ø 10' 19.5196" W,31ø 23' 46.0527" S,Galleotti y Gianelli,Unknown Point Feature,"PARADAS GRUPO 4_kml_maps_google_com_mapfiles_kml_shapes_realestate_png",Parada L 44 regreso,
64ø 10' 22.6715" W,31ø 23' 53.7565" S,Galleotti y Cervantes,Unknown Point Feature,"PARADAS GRUPO 4_kml_maps_google_com_mapfiles_kml_shapes_realestate_png",Parada L 44 regreso,
64ø 10' 24.9434" W,31ø 24' 2.3807" S,Luque y De La Reta,Unknown Point Feature,"PARADAS GRUPO 4_kml_maps_google_com_mapfiles_kml_shapes_realestate_png",Parada L 44 regreso,
64ø 10' 33.3154" W,31ø 24' 8.7736" S,Juan B Justo y Del Campillo,Unknown Point Feature,"PARADAS GRUPO 4_kml_maps_google_com_mapfiles_kml_shapes_realestate_png",Parada L 44 regreso,
64ø 10' 33.4458" W,31ø 24' 17.2900" S,Juan B Justo y Bustos,Unknown Point Feature,"PARADAS GRUPO 4_kml_maps_google_com_mapfiles_kml_shapes_realestate_png",Parada L 44 regreso,
64ø 10' 37.4027" W,31ø 24' 27.9128" S,Guzman y Rincon,Unknown Point Feature,"PARADAS GRUPO 4_kml_maps_google_com_mapfiles_kml_shapes_realestate_png",Parada L 44 regreso,
64ø 10' 32.3481" W,31ø 24' 32.8573" S,Guzman y Libertad,Unknown Point Feature,"PARADAS GRUPO 4_kml_maps_google_com_mapfiles_kml_shapes_realestate_png",Parada L 44 regreso,
64ø 10' 31.4632" W,31ø 24' 40.1940" S,Guzman y Oncativo,Unknown Point Feature,"PARADAS GRUPO 4_kml_maps_google_com_mapfiles_kml_shapes_realestate_png",Parada L 44 regreso,
64ø 10' 31.3042" W,31ø 24' 47.5373" S,Guzman y Catamarca,Unknown Point Feature,"PARADAS GRUPO 4_kml_maps_google_com_mapfiles_kml_shapes_realestate_png",Parada L 44 regreso,
64ø 10' 33.7211" W,31ø 24' 55.8296" S,Guzman y Olmos,Unknown Point Feature,"PARADAS GRUPO 4_kml_maps_google_com_mapfiles_kml_shapes_realestate_png",Parada L 44 regreso,
64ø 10' 34.3119" W,31ø 25' 4.8979" S,Guzman y R de Santa Fe,Unknown Point Feature,"PARADAS GRUPO 4_kml_maps_google_com_mapfiles_kml_shapes_realestate_png",Parada L 44 regreso,
64ø 10' 46.9626" W,31ø 25' 6.9595" S,San Jeronimo y Salta,Unknown Point Feature,"PARADAS GRUPO 4_kml_maps_google_com_mapfiles_kml_shapes_realestate_png",Parada L 44 regreso,
64ø 10' 37.3088" W,31ø 25' 9.6412" S,San Jeronimo y Balcarce,Unknown Point Feature,"PARADAS GRUPO 4_kml_maps_google_com_mapfiles_kml_shapes_realestate_png",Parada L 44 regreso,
64ø 11' 12.7529" W,31ø 24' 58.3468" S,27 de Abril y V Sarsfield,Unknown Point Feature,"PARADAS GRUPO 4_kml_maps_google_com_mapfiles_kml_shapes_realestate_png",Parada L 44 regreso,1
64ø 11' 25.1472" W,31ø 24' 54.6833" S,27 de Abril y F Alcorta,Unknown Point Feature,"PARADAS GRUPO 4_kml_maps_google_com_mapfiles_kml_shapes_realestate_png",Parada L 44 regreso,1
64ø 11' 45.1051" W,31ø 24' 48.9937" S,27 de Abril y Calazans,Unknown Point Feature,"PARADAS GRUPO 4_kml_maps_google_com_mapfiles_kml_shapes_realestate_png",Parada L 44 regreso,1
64ø 11' 58.3543" W,31ø 24' 49.1803" S,P de Los Andes y Caseros,Unknown Point Feature,"PARADAS GRUPO 4_kml_maps_google_com_mapfiles_kml_shapes_realestate_png",Parada L 44 regreso,1
64ø 12' 12.6680" W,31ø 24' 59.3207" S,B San Juan y Misiones,Unknown Point Feature,"PARADAS GRUPO 4_kml_maps_google_com_mapfiles_kml_shapes_realestate_png",Parada L 44 regreso,1
64ø 12' 25.5920" W,31ø 25' 0.3287" S,B San Juan y R Negro,Unknown Point Feature,"PARADAS GRUPO 4_kml_maps_google_com_mapfiles_kml_shapes_realestate_png",Parada L 44 regreso,1
64ø 12' 34.6603" W,31ø 24' 59.5381" S,S Ana y Urrutia,Unknown Point Feature,"PARADAS GRUPO 4_kml_maps_google_com_mapfiles_kml_shapes_realestate_png",Parada L 44 regreso,1
64ø 12' 47.9689" W,31ø 24' 57.0192" S,S Ana y Oca¤a,Unknown Point Feature,"PARADAS GRUPO 4_kml_maps_google_com_mapfiles_kml_shapes_realestate_png",Parada L 44 regreso,1
64ø 13' 7.4012" W,31ø 24' 53.2096" S,S Ana y Sarmiento,Unknown Point Feature,"PARADAS GRUPO 4_kml_maps_google_com_mapfiles_kml_shapes_realestate_png",Parada L 44 regreso,1
64ø 13' 30.2793" W,31ø 24' 48.5608" S,S Ana y M Vidal,Unknown Point Feature,"PARADAS GRUPO 4_kml_maps_google_com_mapfiles_kml_shapes_realestate_png",Parada L 44 regreso,1
64ø 13' 34.3698" W,31ø 24' 53.5192" S,M Vidal y S Luis,Unknown Point Feature,"PARADAS GRUPO 4_kml_maps_google_com_mapfiles_kml_shapes_realestate_png",Parada L 44 regreso,
64ø 13' 36.8906" W,31ø 25' 3.2410" S,M Vidal y Echegaray,Unknown Point Feature,"PARADAS GRUPO 4_kml_maps_google_com_mapfiles_kml_shapes_realestate_png",Parada L 44 regreso,
64ø 13' 45.6480" W,31ø 25' 1.8526" S,Echegaray y Los Platanos,Unknown Point Feature,"PARADAS GRUPO 4_kml_maps_google_com_mapfiles_kml_shapes_realestate_png",Parada L 44 regreso,
64ø 13' 51.8014" W,31ø 24' 58.9916" S,Gaona y F Rivera,Unknown Point Feature,"PARADAS GRUPO 4_kml_maps_google_com_mapfiles_kml_shapes_realestate_png",Parada L 44 regreso,
64ø 13' 55.0134" W,31ø 24' 56.2849" S,Carrasco y F Paz,Unknown Point Feature,"PARADAS GRUPO 4_kml_maps_google_com_mapfiles_kml_shapes_realestate_png",Parada L 44 regreso,1
64ø 14' 9.5138" W,31ø 24' 53.9017" S,Carrasco y Terrada,Unknown Point Feature,"PARADAS GRUPO 4_kml_maps_google_com_mapfiles_kml_shapes_realestate_png",Parada L 44 regreso,1
64ø 14' 15.9805" W,31ø 24' 47.9660" S,F Araos y R  Arias,Unknown Point Feature,"PARADAS GRUPO 4_kml_maps_google_com_mapfiles_kml_shapes_realestate_png",Parada L 44 regreso,1
64ø 14' 25.1432" W,31ø 24' 42.4169" S,Av Santa Ana y Caciagas,Unknown Point Feature,"PARADAS GRUPO 4_kml_maps_google_com_mapfiles_kml_shapes_realestate_png",Parada L 44 regreso,
64ø 14' 42.0641" W,31ø 24' 41.1395" S,Av Santa Ana y Cordero,Unknown Point Feature,"PARADAS GRUPO 4_kml_maps_google_com_mapfiles_kml_shapes_realestate_png",Parada L 44 regreso,1
64ø 14' 53.4235" W,31ø 24' 41.8930" S,Petirrosi y S Ana,Unknown Point Feature,"PARADAS GRUPO 4_kml_maps_google_com_mapfiles_kml_shapes_realestate_png",Parada L 44 regreso,
64ø 15' 2.7887" W,31ø 24' 41.3496" S,Locatelli y S Ana,Unknown Point Feature,"PARADAS GRUPO 4_kml_maps_google_com_mapfiles_kml_shapes_realestate_png",Parada L 44 regreso,
64ø 15' 2.7572" W,31ø 24' 48.9798" S,Locatelli y Oliviera,Unknown Point Feature,"PARADAS GRUPO 4_kml_maps_google_com_mapfiles_kml_shapes_realestate_png",Parada L 44 regreso,1
64ø 15' 2.7803" W,31ø 25' 2.3310" S,Locatelli y Aldao,Unknown Point Feature,"PARADAS GRUPO 4_kml_maps_google_com_mapfiles_kml_shapes_realestate_png",Parada L 44 regreso,1
64ø 15' 3.4127" W,31ø 25' 13.5881" S,Sgto Gomez y Locatelli,Unknown Point Feature,"PARADAS GRUPO 4_kml_maps_google_com_mapfiles_kml_shapes_realestate_png",Parada L 44 regreso,1
64ø 15' 11.9284" W,31ø 25' 13.5180" S,Sgto Gomez y Valenti,Unknown Point Feature,"PARADAS GRUPO 4_kml_maps_google_com_mapfiles_kml_shapes_realestate_png",Parada L 44 regreso,1
64ø 15' 20.3007" W,31ø 25' 13.4405" S,Sgto Gomez y Ancalan,Unknown Point Feature,"PARADAS GRUPO 4_kml_maps_google_com_mapfiles_kml_shapes_realestate_png",Parada L 44 regreso,1
64ø 15' 29.6962" W,31ø 25' 13.7683" S,Sgto Gomez y S Hueque,Unknown Point Feature,"PARADAS GRUPO 4_kml_maps_google_com_mapfiles_kml_shapes_realestate_png",Parada L 44 regreso,1
