"Code","stop_calle","stop_numero","stop_entre","lineas","stop_lat","stop_lon"
"C1565","Gauss",5679,"Gay Lussac y Mariotte","13 Ida - 19 Ida - D10 Ida - ",-31.35682,-64.25098
"C1566","Gauss",5824,"Blas Pascal y Avogadro","13 Ida - 19 Ida - D10 Ida - ",-31.35501,-64.25022
"C1567","Gauss",5968,"Avogadro y Martinolli","13 Ida - 19 Ida - D10 Ida - ",-31.3528,-64.249407
"C1568","Martinolli",5900,"Locelso y Taravella","13 Ida - 19 Ida - D10 Ida - ",-31.35076,-64.2506
"C1569","Martinolli",6200,"Aston y Nepper","13 Ida - 19 Ida - D10 Ida - ",-31.349312,-64.25277
"C1570","Martinolli",6700,"Lasalle y Ferreyra","13 Ida - 19 Ida - D10 Ida - ",-31.34824,-64.25652
"C1571","Martinolli",6894,"Hopkins y Cajal","13 Ida - 19 Ida - D10 Ida - ",-31.34804,-64.25926
"C1572","Martinolli",7092,"Cajal y Fernando Braun","13 Ida - 19 Ida - D10 Ida - ",-31.34789,-64.2616
"C1573","Martinolli",7258,"Laveran y Heriberto Martinez","13 Ida - 19 Ida - D10 Ida - ",-31.34775,-64.2638
"C1574","Martinolli",7714,"Tomas Garzon y Richard","13 Ida - 19 Ida - D10 Ida - ",-31.34751,-64.26763
"C1575","Martinolli",7894,"Albert Sabin y Barany","13 Ida - 19 Ida - D10 Ida - ",-31.347274,-64.271451
"C1576","Martinolli",8124,"Buitrago y Curaquen","13 Ida - 19 Ida - D10 Ida - ",-31.347136,-64.273857
"C1577","Martinolli",8200,"Curaquen y Yupanqui","13 Ida - 19 Ida - D10 Ida - ",-31.347008,-64.276121
"C1578","Martinolli",8360,"Viracocha y Carolina","13 Ida - 19 Ida - D10 Ida - ",-31.34683,-64.27832
"C1579","Martinolli",8530,"Carolina y Alberione","13 Ida - 19 Ida - D10 Ida - ",-31.34665,-64.28124
"C1580","Martinolli",8720,"Alberione y La Gilda","13 Ida - 19 Ida - D10 Ida - ",-31.34592,-64.28398
