"stop_id","stop_name","stop_calle","stop_numero","stop_entre","stop_lat","stop_lon"
3422,"C3422","Bajada de Piedras",,,-31.403053,-64.06387
3423,"C3423","Bajada de Piedras",,,-31.397417,-64.06062
3424,"C3424","Bajada de Piedras",,,-31.392812,-64.058637
3425,"C3425","Bajada de Piedras",,,-31.390673,-64.057985
3426,"C3426","Bajada de Piedras",,,-31.390673,-64.057985
3427,"C3427","Bajada de Piedras",,,-31.392812,-64.058637
3428,"C3428","Bajada de Piedras",,,-31.397417,-64.06062
3429,"C3429","Bajada de Piedras",,,-31.403053,-64.06387
3430,"C3430","Bajada de Piedras",,,-31.406289,-64.065557
3431,"C3431","Bajada de Piedras",,,-31.408596,-64.066812
3432,"C3432","Bajada de Piedras",,,-31.403399,-64.089592
3433,"C3433","Bajada de Piedras",,,-31.40184,-64.106063
3434,"C3434","Bajada de Piedras",,,-31.402259,-64.122503
3435,"C3435","Bajada de Piedras",,,-31.403185,-64.128055
3436,"C3436","Bajada de Piedras",,,-31.403631,-64.132237
3437,"C3437","Bajada de Piedras",,,-31.403364,-64.13569
3438,"C3438","Bajada de Piedras",,,-31.403185,-64.137989
3439,"C3439","Bajada de Piedras",,,-31.404098,-64.140543
3440,"C3440","Bajada de Piedras",,"Antes de Victor Manuel III",-31.405357,-64.142766
3441,"C3441","Bajada de Piedras",,"Cavero y Olivera",-31.406557,-64.147513
3450,"C3450","Capdevila",,"Circunvalacion y Al Gateado",-31.376255,-64.125827
3451,"C3451","Al Gateado",,"Capdevilla y De Las Cortaderas",-31.373688,-64.123945
3452,"C3452","De Las Cortaderas",,"Al Gateado y Las Toscas",-31.368953,-64.120915
3453,"C3453","De Las Cortaderas",,"Al Gateado y Las Toscas",-31.368799,-64.116772
3454,"C3454","Las Toscas",,"De Las Cortaderas y De La Pulperia",-31.366434,-64.11528
3455,"C3455","Las Toscas",,"De Las Cortaderas y De La Pulperia",-31.360742,-64.11526
3456,"C3456","De La Pulperia",,"Las Toscas y Las Quintas",-31.359514,-64.114573
3457,"C3457","De La Pulperia",,"Las Toscas y Las Quintas",-31.35945,-64.107893
3458,"C3458","Las Quintas",,"De la Pulperia y Santa Rosa",-31.355995,-64.105616
3459,"C3459","Santa Rosa",,,-31.353509,-64.100804
3460,"C3460","Santa Rosa",,,-31.349823,-64.095228
3461,"C3461","Santa Rosa",,,-31.344227,-64.086053
3462,"C3462","Santa Rosa",,,-31.339791,-64.082097
3463,"C3463","Santa Rosa",,,-31.336297,-64.078853
3464,"C3464","Santa Rosa",,,-31.338201,-64.072869
3465,"C3465","Santa Rosa",,,-31.333524,-64.070977
3466,"C3466","Santa Rosa",,,-31.333524,-64.070977
3467,"C3467","Santa Rosa",,,-31.338201,-64.072869
3468,"C3468","Santa Rosa",,,-31.336297,-64.078853
3469,"C3469","Santa Rosa",,,-31.339791,-64.082097
3470,"C3470","Santa Rosa",,,-31.344227,-64.086053
3471,"C3471","Santa Rosa",,,-31.349823,-64.095228
3472,"C3472","Santa Rosa",,,-31.353509,-64.100804
3473,"C3473","Las Quintas",,"De la Pulperia y Santa Rosa",-31.355995,-64.105616
3474,"C3474","De La Pulperia",,"Las Toscas y Las Quintas",-31.35945,-64.107893
3475,"C3475","De La Pulperia",,"Las Toscas y Las Quintas",-31.359514,-64.114573
3476,"C3476","Las Toscas",,"De Las Cortaderas y De La Pulperia",-31.360742,-64.11526
3477,"C3477","Las Toscas",,"De Las Cortaderas y De La Pulperia",-31.366434,-64.11528
3478,"C3478","De Las Cortaderas",,"Al Gateado y Las Toscas",-31.368799,-64.116772
3479,"C3479","De Las Cortaderas",,"Al Gateado y Las Toscas",-31.368953,-64.120915
3480,"C3480","Al Gateado",,"Capdevilla y De Las Cortaderas",-31.373688,-64.123945
3481,"C3481","Capdevila",,"Circunvalacion y Al Gateado",-31.376255,-64.125827
