"stop_id","stop_name","stop_calle","stop_numero","stop_entre","stop_lat","stop_lon"
2822,"C2822","Chacabuco",551,"San Lorenzo y Rondeau",-31.42452,-64.18305
2830,"C2830","Gral. Paz",55,"9 de Julio y Dean Funes",-31.4146,-64.18653
2832,"C2832","San Juan",55,"Obispo Trejo e Independencia",-31.42073,-64.1871
2838,"C2838","Sabattini",1400,"Esquina Monserrat",-31.43068,-64.16806
2841,"C2841","Sabattini",2136,"Cadiz y Barcelona",-31.43325,-64.15802
2845,"C2845","Sabattini",2984,"Futaleufu y Ramon Ocampo",-31.43343,-64.14802
2848,"C2848","Sabattini",3800,"Picaflor y ¥andu",-31.43203,-64.13764
2859,"C2859","Sabattini",5550,"Frente Cargo",-31.45774,-64.11055
2860,"C2860","Sabattini",5650,"Padilla y Sanchez de Loria",-31.45964,-64.10863
2863,"C2863","Ciudad de mis Sueños",,"Entrada",-31.47742,-64.08962
2864,"C2864","Publica C. mis Sueños",,"Frente Manzana 43",-31.47742,-64.08792
2865,"C2865","Publica C. mis Sueños",,"Frente Manzana 44",-31.47742,-64.08625
2866,"C2866","Publica C. mis Sueños",,"Frente Manzana 51",-31.47891,-64.08518
2867,"C2867","Publica C. mis Sueños",,"Frente Manzana 52",-31.48028,-64.08521
2868,"C2868","Publica C. mis Sueños",,"Llegando Jardin de Infantes",-31.48083,-64.08467
2869,"C2869","Publica C. mis Sueños",,"Detrás del Colegio",-31.48213,-64.0843
2870,"C2870","Ruta 9",,"Pauli y Schrodinger",-31.48855,-64.07882
2871,"C2871","Entrada 25 de Mayo",,"Paso Nivel",-31.4909,-64.07662
2872,"C2872","Cumbres de Gaspar",,"La Carbonada",-31.48992,-64.0786
2873,"C2873","Cumbres de Gaspar",,"La Carbonada",-31.48991,-64.081
2874,"C2874","Cumbres de Gaspar",,"La Carbonada",-31.48991,-64.08339
2875,"C2875","Cumbres de Gaspar",,"La Carbonada",-31.4899,-64.08625
2876,"C2876","Cumbres de Gaspar",,"La Carbonada",-31.4899,-64.08625
2877,"C2877","Cumbres de Gaspar",,"La Carbonada",-31.4899,-64.08625
2878,"C2878","Cumbres de Gaspar",,"La Carbonada",-31.48994,-64.08396
2879,"C2879","Cumbres de Gaspar",,"La Carbonada",-31.48995,-64.07923
2880,"C2880","Cumbres de Gaspar",,"Salida 25 de Mayo",-31.49067,-64.0772
2881,"C2881","Ruta 9 Sur",,"Km. 688",-31.49934,-64.06739
2882,"C2882","Ruta 9 Sur",,"Fabrica Metal-Ce",-31.49414,-64.07296
2883,"C2883","Ruta 9 Sur",,"Salida La Carbonada",-31.49105,-64.07614
2884,"C2884","Ruta 9 Sur",,"Paso Nivel y Schroding",-31.48868,-64.07859
2885,"C2885","Ruta 9 Sur",,"Pauli y Cuidad de Mis Sueños",-31.48533,-64.08202
2886,"C2886","Parque Ituzaingo",,"Entrada",-31.4831,-64.08429
2887,"C2887","Publica",,"Frente Colegio",-31.48114,-64.0843
2888,"C2888","Publica C. mis Sueños",,"Frente Manzana 56",-31.48027,-64.08522
2889,"C2889","Publica C. mis Sueños",,"Frente Centro Comunal",-31.47792,-64.08517
2890,"C2890","Publica C. mis Sueños",,"Frente Manzana 31",-31.47715,-64.08729
2891,"C2891","Publica C. mis Sueños",,"Frente Manzana 31",-31.47715,-64.08893
2892,"C2892","Sabattini",6250,"Esquina Vucetich",-31.46526,-64.10265
2894,"C2894","Sabattini",5821,"Jose Cabrera y Jose Villegas",-31.46201,-64.10604
2895,"C2895","Sabattini",5659,"Sanchez de Loria y Manuel Padilla",-31.45982,-64.10828
2900,"C2900","Sabattini",5200,"Frente FIAT",-31.45236,-64.11588
2903,"C2903","Sabattini",4900,"Calingasta y Fiambala",-31.44077,-64.12732
2904,"C2904","Sabattini",4600,"Frente Arco de Cordoba",-31.43852,-64.12822
2912,"C2912","Sabattini",2915,"Ramon Ocampo y Tristan Narvaja",-31.43326,-64.148
2913,"C2913","Sabattini",2633,"Juan Rodriguez y Sargento Cabral",-31.43309,-64.15116
2915,"C2915","Sabattini",2241,"Tejedor y Morse",-31.43302,-64.15627
2919,"C2919","Sabattini",1400,"Esquina Monserrat",-31.43084,-64.16693
2925,"C2925","Velez Sarsfield",224,"Caceros y Duarte Quiros",-31.41755,-64.18766
2929,"C2929","Hipolito Irigoyen",552,"Ituzaingo y Larrañaga",-31.42717,-64.18556
2946,"C2946","Vucetich",7195,"Faraday y Westinghouse",-31.46503,-64.08724
2947,"C2947","Vucetich",7100,"Stephenson y Lumiere",-31.46503,-64.08891
2948,"C2948","Vucetich",6924,"Watt y Ohm",-31.465,-64.09172
2949,"C2949","Vucetich",6673,"Hertz y Guttemberg",-31.46499,-64.09441
2950,"C2950","Vucetich",6505,"Daimler y Kelvin",-31.46499,-64.09661
2953,"C2953","Sabattini",6050,"Vucetich y Pesta¤a",-31.46354,-64.10445
2959,"C2959","Sabattini",5300,"Frente a Tubos Transelectric",-31.45382,-64.11442
2984,"C2984","27 de Abril",95,"Independencia y Obispo Trejo",-31.4168,-64.18537
2997,"C2997","Sabattini",1400,"Esquina Monserrat",-31.43053,-64.16836
2998,"C2998","Sabattini",1636,"Cartagena y Huelva",-31.43158,-64.16454
2999,"C2999","Sabattini",1800,"Extremadura y El Escorial",-31.43283,-64.16212
3007,"C3007","Sabattini",3784,"Picaflor y Ñandu",-31.43226,-64.13721
3008,"C3008","Sabattini",3970,"Zorsal y Punilla",-31.4329,-64.13509
3009,"C3009","Sabattini",4290,"Sacanta y Tancacha",-31.43463,-64.13176
3016,"C3016","Sabattini",5375,"Frente Fiat Auto Argentina",-31.45486,-64.11354
3017,"C3017","Sabattini",5400,"Interindustria y Huergo",-31.45631,-64.11206
3020,"C3020","Sabattini",6028,"Frente Cordiez",-31.46172,-64.10642
3022,"C3022","Vucetich",6250,"Sabattini y Taylor",-31.46503,-64.10079
3023,"C3023","Vucetich",6340,"Dalton y Diesel",-31.46503,-64.09906
3029,"C3029","Vucetich",7390,"Lorentz y Bragg",-31.46537,-64.08561
3030,"C3030","Vucetich",7500,"Compton y Guillaume",-31.46503,-64.084
3031,"C3031","Soriano de Arevalos",2410,"Julio de Vedia y Heroes de Vilcapugio",-31.368429,-64.137954
3032,"C3032","Vucetich",,"Casilla",-31.46506,-64.08123
3033,"C3033","Soriano de Arevalos",2560,"Heroinas de Ayohuma  y Heroes de Vilcapu",-31.36842,-64.135687
3034,"C3034","Chachapoyas",3546,"Niceto Vega y Chorroarin",-31.3697,-64.1331
3035,"C3035","Rincon",2180,"Eufrasio Loza y Garibaldi",-31.4045,-64.15705
3041,"C3041","Cno C. de los Remedios",,"Esquina Faraday",-31.458542,-64.087313
3046,"C3046","Oncativo",1795,"Güemes y Lamadrid",-31.40801,-64.16164
3047,"C3047","Oncativo",1930,"Mexico y Patria",-31.407502,-64.15888
3048,"C3048","Patria",683,"Oncativo y Libertad",-31.40639,-64.15888
3100,"C3100","Peron",,"Frente nueva Terminal",-31.42382,-64.17326
3110,"C3110","Nuestro Hogar 2",,"Despues de Barrio Zepa",-31.388235,-64.098324
3115,"C3115","Apostoles",,"Jesus maria y Jovita",-31.41594,-64.14663
3119,"C3119","Maestro Vidal",1284,"Verdi y Rogatis",-31.422584,-64.228179
3120,"C3120","Apostoles",,"Jovita y Jesus Maria",-31.41601,-64.146757
3121,"C3121","Maestro Vidal",1488,"Luis Agote y Hector Paniza",-31.424931,-64.22875
3122,"C3122","Maestro Vidal",1678,"Gomez Carrillo y Alberto Williams",-31.428185,-64.229657
3123,"C3123","Maestro Vidal",1830,"Pinedo y Buchardo",-31.430339,-64.23022
3124,"C3124","Alexander Fleming",2050,"Aconcagua y Uritorco",-31.433446,-64.235831
3125,"C3125","Alexander Fleming",2350,"Gabriela Mistral y Lagunilla",-31.437107,-64.235833
3126,"C3126","Alexander Fleming",2650,"Octaviano Navarro y Antartida",-31.439551,-64.23582
3127,"C3127","Alexander Fleming",2950,"Olivares y Los Pinos",-31.442561,-64.235801
3128,"C3128","Alexander Fleming",3250,"Frontera y la que sigue",-31.446466,-64.235789
3129,"C3129","Alexander Fleming",3450,"Amsterdam y Estocolmo",-31.448624,-64.235822
3130,"C3130","Pueyrredon",1950,"Ing. Lopez y Ocaña",-31.420206,-64.214583
3131,"C3131","Pueyrredon",2350,"Punta Lara y Vieytes",-31.41972,-64.217861
3132,"C3132","Pueyrredon",2650,"Olegario Correa y Brown",-31.419783,-64.220987
3133,"C3133","Schubert",1130,"Peredo y Albeniz",-31.419501,-64.226744
3134,"C3134","Alexander Fleming",3450,"Amsterdam y Estocolmo",-31.448624,-64.235822
3135,"C3135","Rufino Varela Ortiz",3250,"Frontera y la que sigue",-31.446423,-64.237516
3136,"C3136","Rufino Varela Ortiz",2950,"Olivares y Los Pinos",-31.44258,-64.236974
3137,"C3137","Rufino Varela Ortiz",2650,"Octaviano Navarro y Antartida",-31.439552,-64.236949
3138,"C3138","Rufino Varela Ortiz",2350,"Gabriela Mistral y Lagunilla",-31.437102,-64.236977
