stop_lat,stop_numero,stop_code,stop_calle,stop_entre,stop_lon,stop_esquina,stop_id,stop_desc,stop_name
-31.399190792,1350,,Av Patria,,-64.161452293,,6065,,Av Patria 1350
-31.4319457613,1447,,Gral. Manuel Belgrano,,-64.1952427244,,6066,,Gral. Manuel Belgrano 1447
-31.4284333966,1176,,Gral. Manuel Belgrano,,-64.1938098461,,6067,,Gral. Manuel Belgrano 1176
-31.4236001732,769,,Gral. Manuel Belgrano,,-64.1918301306,,6068,,Gral. Manuel Belgrano 769
-31.4180607634,301,,Gral. Manuel Belgrano,,-64.1894103059,,6069,,Gral. Manuel Belgrano 301
-31.4142959161,50,,Tucumán,,-64.1877875275,,6070,,Tucumán 50
-31.4108318101,352,,Tucumán,,-64.1863323324,,6071,,Tucumán 352
-31.4071703374,411,,La Tablada,,-64.1869885175,,6072,,La Tablada 411
-31.4009644703,996,,Gral. Lavalleja,,-64.1864698336,,6073,,Gral. Lavalleja 996
-31.3980118648,646,,Bedoya,,-64.1861572057,,6074,,Bedoya 646
-31.3916333234,2035,,Gral. Justo José de Urquiza,,-64.185469616,,6075,,Gral. Justo José de Urquiza 2035
-31.3885493583,2310,,Gral. Justo José de Urquiza,,-64.1851128671,,6076,,Gral. Justo José de Urquiza 2310
-31.3846021339,2646,,Gral. Justo José de Urquiza,,-64.1851009981,,6077,,Gral. Justo José de Urquiza 2646
-31.3814335872,2934,,Gral. Justo José de Urquiza,,-64.1851193693,,6078,,Gral. Justo José de Urquiza 2934
-31.3660066816,4445,,Mariano Fragueiro,,-64.1837838725,,6079,,Mariano Fragueiro 4445
-31.379755325,3069,,Gral. Justo José de Urquiza,,-64.1851195681,,6080,,Gral. Justo José de Urquiza 3069
-31.3776286968,3248,,Mariano Fragueiro,,-64.1837661714,,6081,,Mariano Fragueiro 3248
-31.3746656291,3438,,Mariano Fragueiro,,-64.1837831614,,6082,,Mariano Fragueiro 3438
-31.372170442,3625,,Mariano Fragueiro,,-64.1837854598,,6083,,Mariano Fragueiro 3625
-31.3685476864,4000,,Mariano Fragueiro,,-64.1837858639,,6084,,Mariano Fragueiro 4000
-31.3639829906,720,,De Escola,,-64.1841385997,,6085,,De Escola 720
-31.364013417,880,,De Escola,,-64.1867022013,,6086,,De Escola 880
-31.3779326032,3217,,Mariano Fragueiro,,-64.1839433286,,6087,,Mariano Fragueiro 3217
-31.4238405204,3217,,San Jerónimo,,-64.1427770732,,6088,,San Jerónimo 3217
-31.423525791,2957,,San Jerónimo,,-64.1461156042,,6089,,San Jerónimo 2957
-31.4232565179,2721,,San Jerónimo,,-64.148946617,,6090,,San Jerónimo 2721
-31.4229729812,2479,,San Jerónimo,,-64.1521232147,,6091,,San Jerónimo 2479
-31.4227086615,2263,,San Jerónimo,,-64.1547396876,,6092,,San Jerónimo 2263
-31.4200187219,1047,,Bernardo de Irigoyen,,-64.1551215026,,6093,,Bernardo de Irigoyen 1047
-31.4181006922,2127,,Obispo Maldonado,,-64.1559391195,,6094,,Obispo Maldonado 2127
-31.4177167207,1811,,Obispo Maldonado,,-64.1587427623,,6095,,Obispo Maldonado 1811
-31.4161121825,1713,,Larrea,,-64.1599798743,,6096,,Larrea 1713
-31.4156834805,1531,,Larrea,,-64.1624923136,,6097,,Larrea 1531
-31.4133112118,182,,Roma,,-64.1633728872,,6098,,Roma 182
-31.4111240575,386,,Roma,,-64.1641672256,,6099,,Roma 386
-31.4104059529,1329,,Sarmiento,,-64.166884893,,6100,,Sarmiento 1329
-31.4108923835,1175,,Sarmiento,,-64.1687134666,,6101,,Sarmiento 1175
-31.4120957054,829,,Sarmiento,,-64.1728868079,,6102,,Sarmiento 829
-31.4139380682,347,,Bv. Guzmán,,-64.1755559528,,6103,,Bv. Guzmán 347
-31.4139494205,379,,Lima,,-64.1775913725,,6104,,Lima 379
-31.4125915606,15,,Lima,,-64.1822810453,,6105,,Lima 15
-31.4133110078,169,,Gral. Paz,,-64.1860095197,,6106,,Gral. Paz 169
-31.4195103342,372,,Av. Veléz Sarsfield,,-64.1886052142,,6107,,Av. Veléz Sarsfield 372
-31.424202473,832,,Av Marcelo T.de Alvear,,-64.193843525,,6108,,Av Marcelo T.de Alvear 832
-31.4265394801,1080,,Av Marcelo T.de Alvear,,-64.1947957117,,6109,,Av Marcelo T.de Alvear 1080
-31.4282298351,480,,Av Julio A. Roca,,-64.1977354482,,6110,,Av Julio A. Roca 480
-31.4285243396,780,,Av Julio A. Roca,,-64.2025951849,,6111,,Av Julio A. Roca 780
-31.4278004171,1034,,Av Julio A. Roca,,-64.2066185611,,6112,,Av Julio A. Roca 1034
-31.4285683813,1318,,Av Julio A. Roca,,-64.2097223843,,6113,,Av Julio A. Roca 1318
-31.4286677995,1330,,Av Julio A. Roca,,-64.2098773173,,6114,,Av Julio A. Roca 1330
-31.4301215063,1710,,Av Fuerza Aerea Argentina,,-64.2131170059,,6115,,Av Fuerza Aerea Argentina 1710
-31.4303404484,1864,,Av Fuerza Aerea Argentina,,-64.2151301947,,6116,,Av Fuerza Aerea Argentina 1864
-31.4306220737,2300,,Av Fuerza Aerea Argentina,,-64.2192604711,,6117,,Av Fuerza Aerea Argentina 2300
-31.4309656753,2668,,Av Fuerza Aerea Argentina,,-64.2240520769,,6118,,Av Fuerza Aerea Argentina 2668
-31.431251968,2966,,Av Fuerza Aerea Argentina,,-64.2284019129,,6119,,Av Fuerza Aerea Argentina 2966
-31.4316097047,3370,,Av Fuerza Aerea Argentina,,-64.2333977318,,6120,,Av Fuerza Aerea Argentina 3370
-31.4319786873,3684,,Av Fuerza Aerea Argentina,,-64.2366597971,,6121,,Av Fuerza Aerea Argentina 3684
-31.3647455309,880,,De los Santos,,-64.1851306215,,6122,,De los Santos 880
-31.3647539308,807,,De los Santos,,-64.1867963045,,6123,,De los Santos 807
-31.3661663813,4425,,Mariano Fragueiro,,-64.18396314,,6124,,Mariano Fragueiro 4425
-31.3684219998,4067,,Mariano Fragueiro,,-64.1839653321,,6125,,Mariano Fragueiro 4067
-31.3716945657,3636,,Mariano Fragueiro,,-64.1839649306,,6126,,Mariano Fragueiro 3636
-31.3741104678,3489,,Mariano Fragueiro,,-64.1839612322,,6127,,Mariano Fragueiro 3489
-31.3791767112,3069,,Gral. Justo José de Urquiza,,-64.1853107287,,6128,,Gral. Justo José de Urquiza 3069
-31.382556757,2835,,Gral. Justo José de Urquiza,,-64.1853031305,,6129,,Gral. Justo José de Urquiza 2835
-31.3849749661,2623,,Gral. Justo José de Urquiza,,-64.1852906019,,6130,,Gral. Justo José de Urquiza 2623
-31.3882676134,2331,,Gral. Justo José de Urquiza,,-64.1852871278,,6131,,Gral. Justo José de Urquiza 2331
-31.3917777766,2025,,Gral. Justo José de Urquiza,,-64.185718284,,6132,,Gral. Justo José de Urquiza 2025
-31.3951123021,1707,,Gral. Justo José de Urquiza,,-64.1870905701,,6133,,Gral. Justo José de Urquiza 1707
-31.3989910947,700,,Juan del Campillo,,-64.1876490641,,6134,,Juan del Campillo 700
-31.4001961907,417,,Juan del Campillo,,-64.183687942,,6135,,Juan del Campillo 417
-31.40243719,1265,,Roque Sáenz Peña,,-64.183224704,,6136,,Roque Sáenz Peña 1265
-31.4074659261,645,,Gral. Paz,,-64.183559699,,6137,,Gral. Paz 645
-31.4102268999,437,,Gral. Paz,,-64.1847198419,,6138,,Gral. Paz 437
-31.4136573057,173,,Gral. Paz,,-64.1861387638,,6139,,Gral. Paz 173
-31.4154042869,10,,Av Veléz Sarsfield,,-64.1868683713,,6140,,Av Veléz Sarsfield 10
-31.399441608,1319,,Av Patria,,-64.161553807,,6141,,Av Patria 1319
-31.4011770776,1139,,Av Patria,,-64.1609261307,,6142,,Av Patria 1139
-31.4037498076,939,,Av Patria,,-64.1599774141,,6143,,Av Patria 939
-31.4056370195,765,,Av Patria,,-64.1592931502,,6144,,Av Patria 765
-31.4097205609,1537,,Sarmiento,,-64.1643125362,,6145,,Sarmiento 1537
-31.4102154941,1385,,Sarmiento,,-64.1661803685,,6146,,Sarmiento 1385
-31.414075804,333,,Bv. Guzmán,,-64.1756161012,,6147,,Bv. Guzmán 333
-31.4138448134,347,,Lima,,-64.1779527971,,6148,,Lima 347
-31.4123564949,45,,Lima,,-64.1830945609,,6149,,Lima 45
