route_id,start_time,headway_secs,end_time,service_id
27,22:30:00,1800,25:00:00,H
28,01:00:00,7200,05:00:00,H
28,05:00:00,1200,06:00:00,H
28,06:00:00,900,08:30:00,H
28,08:30:00,1200,12:00:00,H
28,12:00:00,900,13:30:00,H
28,13:30:00,1200,18:30:00,H
28,18:30:00,900,21:30:00,H
28,21:30:00,1200,22:30:00,H
28,22:30:00,1800,25:00:00,H
29,05:00:00,2100,06:00:00,H
29,06:00:00,2100,08:30:00,H
29,08:30:00,2100,12:00:00,H
29,12:00:00,2100,13:30:00,H
29,13:30:00,2100,18:30:00,H
29,18:30:00,2100,21:30:00,H
29,21:30:00,2100,22:30:00,H
29,22:30:00,2700,25:00:00,H
30,01:00:00,3600,05:00:00,H
30,05:00:00,660,06:00:00,H
30,06:00:00,420,08:30:00,H
30,08:30:00,660,12:00:00,H
30,12:00:00,420,13:30:00,H
30,13:30:00,660,18:30:00,H
30,18:30:00,420,21:30:00,H
30,21:30:00,660,22:30:00,H
30,22:30:00,1200,25:00:00,H
31,05:00:00,900,06:00:00,H
31,06:00:00,600,08:30:00,H
31,08:30:00,900,12:00:00,H
31,12:00:00,600,13:30:00,H
31,13:30:00,900,18:30:00,H
31,18:30:00,600,21:30:00,H
31,21:30:00,900,22:30:00,H
31,22:30:00,1800,25:00:00,H
32,05:00:00,900,06:00:00,H
32,06:00:00,600,08:30:00,H
32,08:30:00,900,12:00:00,H
32,12:00:00,600,13:30:00,H
32,13:30:00,900,18:30:00,H
32,18:30:00,600,21:30:00,H
32,21:30:00,900,22:30:00,H
32,22:30:00,1800,25:00:00,H
33,05:00:00,1200,06:00:00,H
33,06:00:00,720,08:30:00,H
33,08:30:00,1200,12:00:00,H
33,12:00:00,720,13:30:00,H
33,13:30:00,1200,18:30:00,H
33,18:30:00,720,21:30:00,H
33,21:30:00,1200,22:30:00,H
33,22:30:00,1800,25:00:00,H
34,05:00:00,1200,06:00:00,H
34,06:00:00,840,08:30:00,H
34,08:30:00,1200,12:00:00,H
34,12:00:00,840,13:30:00,H
34,13:30:00,1200,18:30:00,H
34,18:30:00,840,21:30:00,H
34,21:30:00,1200,22:30:00,H
34,22:30:00,1800,25:00:00,H
35,01:00:00,7200,05:00:00,H
35,05:00:00,900,06:00:00,H
35,06:00:00,540,08:30:00,H
35,08:30:00,900,12:00:00,H
35,12:00:00,540,13:30:00,H
35,13:30:00,900,18:30:00,H
35,18:30:00,540,21:30:00,H
35,21:30:00,900,22:30:00,H
35,22:30:00,1800,25:00:00,H
36,05:00:00,1200,06:00:00,H
36,06:00:00,960,08:30:00,H
36,08:30:00,1200,12:00:00,H
36,12:00:00,960,13:30:00,H
36,13:30:00,1200,18:30:00,H
36,18:30:00,960,21:30:00,H
36,21:30:00,1200,22:30:00,H
36,22:30:00,2100,25:00:00,H
40,01:00:00,3600,05:00:00,H
40,05:00:00,780,06:00:00,H
40,06:00:00,420,08:30:00,H
40,08:30:00,780,12:00:00,H
40,12:00:00,420,13:30:00,H
40,13:30:00,780,18:30:00,H
40,18:30:00,420,21:30:00,H
40,21:30:00,780,22:30:00,H
40,22:30:00,1200,25:00:00,H
41,01:00:00,7200,05:00:00,H
41,05:00:00,780,06:00:00,H
41,06:00:00,540,08:30:00,H
41,08:30:00,780,12:00:00,H
41,12:00:00,540,13:30:00,H
41,13:30:00,780,18:30:00,H
41,18:30:00,540,21:30:00,H
41,21:30:00,780,22:30:00,H
41,22:30:00,1800,25:00:00,H
42,05:00:00,900,06:00:00,H
42,06:00:00,480,08:30:00,H
42,08:30:00,900,12:00:00,H
42,12:00:00,480,13:30:00,H
42,13:30:00,900,18:30:00,H
42,18:30:00,480,21:30:00,H
42,21:30:00,900,22:30:00,H
42,22:30:00,1800,25:00:00,H
43,01:00:00,7200,05:00:00,H
43,05:00:00,720,06:00:00,H
43,06:00:00,420,08:30:00,H
43,08:30:00,720,12:00:00,H
43,12:00:00,420,13:30:00,H
43,13:30:00,720,18:30:00,H
43,18:30:00,420,21:30:00,H
43,21:30:00,720,22:30:00,H
43,22:30:00,1800,25:00:00,H
44,05:00:00,900,06:00:00,H
44,06:00:00,600,08:30:00,H
44,08:30:00,900,12:00:00,H
44,12:00:00,600,13:30:00,H
44,13:30:00,900,18:30:00,H
44,18:30:00,600,21:30:00,H
44,21:30:00,900,22:30:00,H
44,22:30:00,1800,25:00:00,H
50,01:00:00,3600,05:00:00,H
50,05:00:00,600,06:00:00,H
50,06:00:00,360,08:30:00,H
50,08:30:00,600,12:00:00,H
50,12:00:00,360,13:30:00,H
50,13:30:00,600,18:30:00,H
50,18:30:00,360,21:30:00,H
50,21:30:00,600,22:30:00,H
50,22:30:00,1200,25:00:00,H
500,05:00:00,1800,06:00:00,H
500,06:00:00,1800,08:30:00,H
500,08:30:00,1800,12:00:00,H
500,12:00:00,1800,13:30:00,H
500,13:30:00,1800,18:30:00,H
500,18:30:00,1800,21:30:00,H
500,21:30:00,1800,22:30:00,H
501,05:00:00,1800,06:00:00,H
501,06:00:00,1800,08:30:00,H
501,08:30:00,1800,12:00:00,H
501,12:00:00,1800,13:30:00,H
501,13:30:00,1800,18:30:00,H
501,18:30:00,1800,21:30:00,H
501,21:30:00,1800,22:30:00,H
51,05:00:00,900,06:00:00,H
51,06:00:00,600,08:30:00,H
51,08:30:00,900,12:00:00,H
51,12:00:00,600,13:30:00,H
51,13:30:00,900,18:30:00,H
51,18:30:00,600,21:30:00,H
51,21:30:00,900,22:30:00,H
51,22:30:00,1800,25:00:00,H
52,01:00:00,7200,05:00:00,H
52,05:00:00,900,06:00:00,H
52,06:00:00,600,08:30:00,H
52,08:30:00,900,12:00:00,H
52,12:00:00,600,13:30:00,H
52,13:30:00,900,18:30:00,H
52,18:30:00,600,21:30:00,H
52,21:30:00,900,22:30:00,H
52,22:30:00,1800,25:00:00,H
53,05:00:00,900,06:00:00,H
53,06:00:00,480,08:30:00,H
53,08:30:00,900,12:00:00,H
53,12:00:00,480,13:30:00,H
53,13:30:00,900,18:30:00,H
53,18:30:00,480,21:30:00,H
53,21:30:00,900,22:30:00,H
53,22:30:00,1800,25:00:00,H
54,05:00:00,1200,06:00:00,H
54,06:00:00,900,08:30:00,H
54,08:30:00,1200,12:00:00,H
54,12:00:00,900,13:30:00,H
54,13:30:00,1200,18:30:00,H
54,18:30:00,900,21:30:00,H
54,21:30:00,1200,22:30:00,H
54,22:30:00,1800,25:00:00,H
55,05:00:00,1200,06:00:00,H
55,06:00:00,900,08:30:00,H
55,08:30:00,1200,12:00:00,H
55,12:00:00,900,13:30:00,H
55,13:30:00,1200,18:30:00,H
55,18:30:00,900,21:30:00,H
55,21:30:00,1200,22:30:00,H
60,01:00:00,3600,05:00:00,H
60,05:00:00,900,06:00:00,H
60,06:00:00,540,08:30:00,H
60,08:30:00,900,12:00:00,H
60,12:00:00,540,13:30:00,H
60,13:30:00,900,18:30:00,H
60,18:30:00,540,21:30:00,H
60,21:30:00,900,22:30:00,H
60,22:30:00,1200,25:00:00,H
600,05:00:00,1200,06:00:00,H
