stop_id,stop_calle,stop_numero,stop_frente,stop_esquina,stop_entre_a,stop_entre_b,stop_lat,stop_lon
4844,De los Regidores,1567,,,Francisco Vallés,Francisco Suarez,-31.36802105297361,-64.19409809316915
4845,De los Regidores,1207,,,Florencio Sanchez,Del Acueducto,-31.36832700884968,-64.19224328245484
4846,De los Regidores,1103,,De las Fuentes,De l Recova,De las Fuentes,-31.36864017434062,-64.19014599386762
4847,De los Regidores,1007,,Avila y quirós,Del Precursor,Avila y quirós,-31.36882601618327,-64.18876194235732
4840,Martel de Cabrera,214,,Blas de Peralta,Gaspar de Medina,Blas de Peralta,-31.37097439153837,-64.19796080406842
4841,Blas de Peralta,4088,,Toledo de Pimentel,Del Molino,Toledo de Pimentel,-31.36915962978223,-64.19740392480861
4842,Toledo de Pimentel,1675,,Cornelio Saavedra,Del Cabildo,Cornelio  Saavedra,-31.36924436448009,-64.1962628850537
4843,Cornelio Saavedra,4094,,De los Regidores,Toledo de Pimentel,De los Regidores,-31.36789529580236,-64.19573195112888
4937,Cno San Carlos,,,Canal Maestro,,,-31.51892495386952,-64.16911020772527
5201,López y Planes,2920,,,Ramón Ocampo,Tristán Narvaja,-31.42134400105694,-64.14620682650637
5200,López y Planes,3113,,,Diego de Torres,Gorriti,-31.42154378008483,-64.1436384414295
5203,López y Planes,2541,,,Sargento Cabral,Yapeyú,-31.42086997181843,-64.15126120625577
5202,López y Planes,2718,,,Ambrosio Funes,Juan Rodriguez,-31.42111780113951,-64.14878108078962
5205,López y Planes,2133,,,Bernardo de Irigoyen,Carlos Pellegrini,-31.4204169558607,-64.15622248865496
5204,López y Planes,2313,,,San Alberto,Carlos Tejedor,-31.42064396523382,-64.15375713118534
5207,Figueroa,22,,,,,-31.39408250103179,-64.25024939518609
5206,Carlos Pellegrini,1288,,,EE UU,San Jerónimo,-31.42230561738321,-64.15680182083243
5209,27 de Abril,225,,,Velez Sarfield,Belgrano,-31.41619405819936,-64.18754559295587
5208,San Jerónimo,82,,,Bs As,Independencia,-31.41733772481713,-64.18347446707794
5379,Tinogasta,5694,,,Benjamin Viel,Luis Burela,-31.43728840190845,-64.11238268659963
5378,Tinogasta,5548,,,Almagro,Lola Mora,-31.43733832666243,-64.11460744643162
5375,Calingasta,5250,,Cangallo,,,-31.44118789847929,-64.11798911886046
5374,Fiambala,4874,,,Ambargasta,Ramos Mejías,-31.43906010216348,-64.1235931004263
5377,Boedo,2511,,,Andalgala,Tinogasta,-31.43750240476211,-64.11666639764734
5376,Boedo,2651,,,Venecia,Ancasti,-31.43952971791065,-64.11660205572457
5371,Medrano,4890,,Ramos Mejías,Pichanas,Ramos Mejías,-31.43540989713164,-64.12347161325079
5370,Medrano,4790,,,Soto,Samaniego,-31.43542200863598,-64.12471252133234
5373,Ambargasta,2544,,,Tinogasta,Andalgala,-31.43832481604389,-64.12466549790761
5372,Ramos Mejías,2496,,,Gualilan,Tinogasta,-31.43754696091846,-64.12347645096916
4338,Valparaiso,2976,,,Larreta,Javier Diaz,-31.44640993725669,-64.18681528104646
